furniture_establish-10010001,救護室壁紙
furniture_establish-10030201,田舎の鉄道模型
furniture_establish-20030201,何の変哲もない田舎の小さな駅。少年少女たちの、時の流れに淘汰された小さなこだわりが詰まっているかもしれない。トンネルを抜けると、あのころ望んでいた人生が見つかるかな？
furniture_establish-10030202,田舎の鉄道模型
furniture_establish-20030202,何の変哲もない田舎の小さな駅。少年少女たちの、時の流れに淘汰された小さなこだわりが詰まっているかもしれない。トンネルを抜けると、あのころ望んでいた人生が見つかるかな？
furniture_establish-10030203,田舎の鉄道模型
furniture_establish-20030203,何の変哲もない田舎の小さな駅。少年少女たちの、時の流れに淘汰された小さなこだわりが詰まっているかもしれない。トンネルを抜けると、あのころ望んでいた人生が見つかるかな？
furniture_establish-10030204,田舎の鉄道模型
furniture_establish-20030204,何の変哲もない田舎の小さな駅。少年少女たちの、時の流れに淘汰された小さなこだわりが詰まっているかもしれない。トンネルを抜けると、あのころ望んでいた人生が見つかるかな？
furniture_establish-10030205,田舎の鉄道模型
furniture_establish-20030205,何の変哲もない田舎の小さな駅。少年少女たちの、時の流れに淘汰された小さなこだわりが詰まっているかもしれない。トンネルを抜けると、あのころ望んでいた人生が見つかるかな？
furniture_establish-10030206,鉄道駅の模型
furniture_establish-20030206,産業時代の鉄を多用した駅が、昔の素朴なプラットホームに取って代わり、手紙や乗客を乗せていた列車も、しだいに原材料を積んだ貨物列車へと変わっていく。これが発展というものだ。
furniture_establish-10030207,鉄道駅の模型
furniture_establish-20030207,産業時代の鉄を多用した駅が、昔の素朴なプラットホームに取って代わり、手紙や乗客を乗せていた列車も、しだいに原材料を積んだ貨物列車へと変わっていく。これが発展というものだ。
furniture_establish-10030208,鉄道駅の模型
furniture_establish-20030208,産業時代の鉄を多用した駅が、昔の素朴なプラットホームに取って代わり、手紙や乗客を乗せていた列車も、しだいに原材料を積んだ貨物列車へと変わっていく。これが発展というものだ。
furniture_establish-10030209,鉄道駅の模型
furniture_establish-20030209,産業時代の鉄を多用した駅が、昔の素朴なプラットホームに取って代わり、手紙や乗客を乗せていた列車も、しだいに原材料を積んだ貨物列車へと変わっていく。これが発展というものだ。
furniture_establish-10030210,国王鉄道ターミナルの模型
furniture_establish-20030210,数回のレベルアップを経て、やっと国王鉄道駅の模型が完成。モデルは戦前の某帝国の首都にあった駅だ。あの繁栄も今や模型の中にしか見い出せない。
furniture_establish-10030300,倉庫模型の基礎
furniture_establish-20030300,ここをベースにして作った倉庫模型。本部からの指令を保存するのに使用できる。なぜ模型にそんなことができるのかって？それは私も知りたいところだ。
furniture_establish-10030301,臨時倉庫の模型
furniture_establish-20030301,臨時の倉庫が完成。ただし、細い針金とラッカー塗装したビニール製でとても脆いので、指令の出し入れをする際には注意してくださいね、指揮官。
furniture_establish-10030302,臨時倉庫の模型
furniture_establish-20030302,臨時の倉庫が完成。ただし、細い針金とラッカー塗装したビニール製でとても脆いので、指令の出し入れをする際には注意してくださいね、指揮官。
furniture_establish-10030303,臨時倉庫の模型
furniture_establish-20030303,臨時の倉庫が完成。ただし、細い針金とラッカー塗装したビニール製でとても脆いので、指令の出し入れをする際には注意してくださいね、指揮官。
furniture_establish-10030304,臨時倉庫の模型
furniture_establish-20030304,臨時の倉庫が完成。ただし、細い針金とラッカー塗装したビニール製でとても脆いので、指令の出し入れをする際には注意してくださいね、指揮官。
furniture_establish-10030305,臨時倉庫の模型
furniture_establish-20030305,臨時の倉庫が完成。ただし、細い針金とラッカー塗装したビニール製でとても脆いので、指令の出し入れをする際には注意してくださいね、指揮官。
furniture_establish-10030306,産業倉庫の模型
furniture_establish-20030306,倉庫が赤レンガとトタン屋根になってだいぶ丈夫になり、より多くの指令の収納が可能になりました（三匹の子豚のお話ではありません）。
furniture_establish-10030307,産業倉庫の模型
furniture_establish-20030307,倉庫が赤レンガとトタン屋根になってだいぶ丈夫になり、より多くの指令の収納が可能になりました（三匹の子豚のお話ではありません）。
furniture_establish-10030308,産業倉庫の模型
furniture_establish-20030308,倉庫が赤レンガとトタン屋根になってだいぶ丈夫になり、より多くの指令の収納が可能になりました（三匹の子豚のお話ではありません）。
furniture_establish-10030309,産業倉庫の模型
furniture_establish-20030309,倉庫が赤レンガとトタン屋根になってだいぶ丈夫になり、より多くの指令の収納が可能になりました（三匹の子豚のお話ではありません）。
furniture_establish-10030310,高度な倉庫の模型
furniture_establish-20030310,環境に優しく、再生可能エネルギーを使用する高度な倉庫の模型。一番の注目点はクールな幾何学的設計だ。そうでなければ建築家のノーベル賞とも言われるプリツカー賞を受賞するわけがない。
furniture_establish-10030400,真っ白な天気システム
furniture_establish-20030400,天井のフックに本物そっくりの天気図を掛けたら妖精が大喜び。その上、経験値入手速度もアップ。薄暗い地下では、いい気分を保つのが何よりも大事。
furniture_establish-10030401,黒雲の天気システム
furniture_establish-20030401,小さな黒雲はすべての始まり。バカにしてはいけない。綿、液体のり、ラッカー塗料で黒い雲を作るのは、模型界では高度な技だ。
furniture_establish-10030402,黒雲の天気システム
furniture_establish-20030402,小さな黒雲はすべての始まり。バカにしてはいけない。綿、液体のり、ラッカー塗料で黒い雲を作るのは、模型界では高度な技だ。
furniture_establish-10030403,黒雲の天気システム
furniture_establish-20030403,小さな黒雲はすべての始まり。バカにしてはいけない。綿、液体のり、ラッカー塗料で黒い雲を作るのは、模型界では高度な技だ。
furniture_establish-10030404,黒雲の天気システム
furniture_establish-20030404,小さな黒雲はすべての始まり。バカにしてはいけない。綿、液体のり、ラッカー塗料で黒い雲を作るのは、模型界では高度な技だ。
furniture_establish-10030405,黒雲の天気システム
furniture_establish-20030405,小さな黒雲はすべての始まり。バカにしてはいけない。綿、液体のり、ラッカー塗料で黒い雲を作るのは、模型界では高度な技だ。
furniture_establish-10030406,暗月の天気システム
furniture_establish-20030406,神秘的なダークムーンが黒雲の向こうからうっすらとその片鱗を覗かせると、妖精たちは嬉々としてタロットカードと召喚ロウソクを取り出す。彼女たちが変な騒ぎを起こしませんように……
furniture_establish-10030407,暗月の天気システム
furniture_establish-20030407,神秘的なダークムーンが黒雲の向こうからうっすらとその片鱗を覗かせると、妖精たちは嬉々としてタロットカードと召喚ロウソクを取り出す。彼女たちが変な騒ぎを起こしませんように……
furniture_establish-10030408,暗月の天気システム
furniture_establish-20030408,神秘的なダークムーンが黒雲の向こうからうっすらとその片鱗を覗かせると、妖精たちは嬉々としてタロットカードと召喚ロウソクを取り出す。彼女たちが変な騒ぎを起こしませんように……
furniture_establish-10030409,暗月の天気システム
furniture_establish-20030409,神秘的なダークムーンが黒雲の向こうからうっすらとその片鱗を覗かせると、妖精たちは嬉々としてタロットカードと召喚ロウソクを取り出す。彼女たちが変な騒ぎを起こしませんように……
furniture_establish-10030410,双月の天気システム
furniture_establish-20030410,月だけの天気図よりいいものは？答えは月2つの天気図！しかもキラキラと光り、ジャガイモのようなフォボスやダイモスよりもずっと綺麗な月。
furniture_establish-10040001,カフェ壁紙
furniture_establish-20040001,カフェ壁紙
furniture_establish-10040003,カフェフロア
furniture_establish-20040003,カフェフロア
furniture_establish-10040004,カフェカーペット
furniture_establish-20040004,カフェカーペット
furniture_establish-10040005,カフェバーカウンター
furniture_establish-20040005,カフェバーカウンター
furniture_establish-10040006,カフェラック
furniture_establish-20040006,カフェラック
furniture_establish-10040007,カフェ壁掛け
furniture_establish-20040007,カフェ壁掛け
furniture_establish-10040008,カフェフロア音響
furniture_establish-20040008,カフェフロア音響
furniture_establish-10040009,カフェテーブル(中央)
furniture_establish-20040009,カフェテーブル(中央)
furniture_establish-10040010,カフェテーブル(右)
furniture_establish-20040010,カフェテーブル(右)
furniture_establish-10040011,カフェコーヒー豆キャニスター
furniture_establish-20040011,カフェコーヒー豆キャニスター
furniture_establish-10040013,カフェハイスツール
furniture_establish-20040013,カフェハイスツール
furniture_establish-10040014,カフェカーペット
furniture_establish-20040014,カフェカーペット
furniture_establish-10040016,カフェ椅子(左)
furniture_establish-20040016,カフェ椅子(左)
furniture_establish-10040017,カフェ椅子(右)
furniture_establish-20040017,カフェ椅子(右)
furniture_establish-10040018,カフェハイスツール
furniture_establish-20040018,カフェハイスツール
furniture_establish-10040019,カフェバーカウンター裏板
furniture_establish-20040019,カフェバーカウンター裏板
furniture_establish-10040020,カフェ椅子(右)
furniture_establish-20040020,カフェ椅子(右)
furniture_establish-10040021,カフェハイスツール(対話なし)
furniture_establish-20040021,カフェハイスツール(対話なし)
furniture_establish-10040022,カフェバーカウンター冷蔵庫
furniture_establish-20040022,カフェバーカウンター冷蔵庫
furniture_establish-10040023,コーヒーマシン
furniture_establish-20040023,カフェバーカウンターコーヒーメーカー
furniture_establish-10040024,レコードプレーヤー
furniture_establish-20040024,レコードプレーヤー
furniture_establish-10040025,カフェハイスツール(対話なし)
furniture_establish-20040025,カフェハイスツール(対話なし)
furniture_establish-10040026,ノート
furniture_establish-20040026,ノート
furniture_establish-10040027,映写機
furniture_establish-20040027,映写機
furniture_establish-10040028,本棚
furniture_establish-20040028,カフェ本棚
furniture_establish-10050100,埃を被った傍受設備
furniture_establish-20050100,埃まみれの布地を被せられていた電子設備。古い無線機材のようだが、上にうっすらと「WAVE」という文字が見える。
furniture_establish-10050101,短波傍受設備
furniture_establish-20050101,かつての戦時中、諜報員はこのような古めかしい設備を使って数多くの機密電文を解読し、戦局を一変させたという。さあ、あなたもやってみよう！
furniture_establish-10050102,短波傍受設備
furniture_establish-20050102,かつての戦時中、諜報員はこのような古めかしい設備を使って数多くの機密電文を解読し、戦局を一変させたという。さあ、あなたもやってみよう！
furniture_establish-10050103,短波傍受設備
furniture_establish-20050103,かつての戦時中、諜報員はこのような古めかしい設備を使って数多くの機密電文を解読し、戦局を一変させたという。さあ、あなたもやってみよう！
furniture_establish-10050104,短波傍受設備
furniture_establish-20050104,かつての戦時中、諜報員はこのような古めかしい設備を使って数多くの機密電文を解読し、戦局を一変させたという。さあ、あなたもやってみよう！
furniture_establish-10050105,短波傍受設備
furniture_establish-20050105,かつての戦時中、諜報員はこのような古めかしい設備を使って数多くの機密電文を解読し、戦局を一変させたという。さあ、あなたもやってみよう！
furniture_establish-10050106,長波傍受設備
furniture_establish-20050106,そうね、無線アンテナを地下に張るのは効果が今一つみたい。だから今はアンテナを基地の外に出してるよ、これでより広範囲の情報が手に入るね。
furniture_establish-10050107,長波傍受設備
furniture_establish-20050107,そうね、無線アンテナを地下に張るのは効果が今一つみたい。だから今はアンテナを基地の外に出してるよ、これでより広範囲の情報が手に入るね。
furniture_establish-10050108,長波傍受設備
furniture_establish-20050108,そうね、無線アンテナを地下に張るのは効果が今一つみたい。だから今はアンテナを基地の外に出してるよ、これでより広範囲の情報が手に入るね。
furniture_establish-10050109,長波傍受設備
furniture_establish-20050109,そうね、無線アンテナを地下に張るのは効果が今一つみたい。だから今はアンテナを基地の外に出してるよ、これでより広範囲の情報が手に入るね。
furniture_establish-10050110,データ観測中枢
furniture_establish-20050110,情報化社会で仕事をする際、爆発的に増加した情報量の処理にはWAVEが提供する先進的な設備が必要不可欠。強化されたラーニングシステムはインターネット時代に生み出された大量のスパムメールを効率よく排除でき、有用な情報の選定がより一層進んだ！
furniture_establish-10050200,埃を被ったブリーフィングステーション
furniture_establish-20050200,長い長い諜報史の中、数多の謎がこういった質素なボードの前で解かれてきた。そのボードは今、汚れをはたき落とし、再び使われるのを待っている。
furniture_establish-10050201,臨時ブリーフィングステーション
furniture_establish-20050201,諜報員(と諜報員を演じる人)にとってかかせないモノ。複雑な手がかりからヒントが掴めていないのであれば、この古めかしい暗号機は君を悩みに悩ませてくれるはずだ。俗にいう「敵を欺くにはまず味方から」である。
furniture_establish-10050202,臨時ブリーフィングステーション
furniture_establish-20050202,諜報員(と諜報員を演じる人)にとってかかせないモノ。複雑な手がかりからヒントが掴めていないのであれば、この古めかしい暗号機は君を悩みに悩ませてくれるはずだ。俗にいう「敵を欺くにはまず味方から」である。
furniture_establish-10050203,臨時ブリーフィングステーション
furniture_establish-20050203,諜報員(と諜報員を演じる人)にとってかかせないモノ。複雑な手がかりからヒントが掴めていないのであれば、この古めかしい暗号機は君を悩みに悩ませてくれるはずだ。俗にいう「敵を欺くにはまず味方から」である。
furniture_establish-10050204,臨時ブリーフィングステーション
furniture_establish-20050204,諜報員(と諜報員を演じる人)にとってかかせないモノ。複雑な手がかりからヒントが掴めていないのであれば、この古めかしい暗号機は君を悩みに悩ませてくれるはずだ。俗にいう「敵を欺くにはまず味方から」である。
furniture_establish-10050205,臨時ブリーフィングステーション
furniture_establish-20050205,諜報員(と諜報員を演じる人)にとってかかせないモノ。複雑な手がかりからヒントが掴めていないのであれば、この古めかしい暗号機は君を悩みに悩ませてくれるはずだ。俗にいう「敵を欺くにはまず味方から」である。
furniture_establish-10050206,冷戦時のブリーフィングステーション
furniture_establish-20050206,この箱の発する冷たい光が、鑑識の難しい航空写真をすり抜けて指揮官の重々しい表情を照らす。冷戦時、ここに立っていた人々もきっと同じ表情をしていただろう。「こいつ……爆撃機の数を偽っていたとは――！」
furniture_establish-10050207,冷戦時のブリーフィングステーション
furniture_establish-20050207,この箱の発する冷たい光が、鑑識の難しい航空写真をすり抜けて指揮官の重々しい表情を照らす。冷戦時、ここに立っていた人々もきっと同じ表情をしていただろう。「こいつ……爆撃機の数を偽っていたとは――！」
furniture_establish-10050208,冷戦時のブリーフィングステーション
furniture_establish-20050208,この箱の発する冷たい光が、鑑識の難しい航空写真をすり抜けて指揮官の重々しい表情を照らす。冷戦時、ここに立っていた人々もきっと同じ表情をしていただろう。「こいつ……爆撃機の数を偽っていたとは――！」
furniture_establish-10050209,冷戦時のブリーフィングステーション
furniture_establish-20050209,この箱の発する冷たい光が、鑑識の難しい航空写真をすり抜けて指揮官の重々しい表情を照らす。冷戦時、ここに立っていた人々もきっと同じ表情をしていただろう。「こいつ……爆撃機の数を偽っていたとは――！」
furniture_establish-10050210,ホロミッションボード
furniture_establish-20050210,最先端の技術をもってして作られたこのホログラフィック・ディスプレイ。ここに映る任務には、それぞれ詳細がカラーで載せられており、ボタン一つで指揮官の携帯デバイスにダウンロードすることもできる。また、回線速度が非常に速いため、言わずもがなネットサーフィンに最適である。うーん最高。
furniture_establish-10050300,埃を被った記録機
furniture_establish-20050300,布の下にあったのは、まるで重工業施設にあるような金属光沢をまとった埃まみれの巨大な装置だった。想像していた電子機器とずいぶん違うが、本当にこれでデータを記録できるのだろうか？
furniture_establish-10050301,初期型磁気ディスク
furniture_establish-20050301,洗面器よりも大きな両面ディスクを50枚搭載した大容量ストレージ(3.75MB)。読み取る時に、機織り機のような音が鳴り響くが、手で直接記録するよりはよっぽどマシだろう。
furniture_establish-10050302,初期型磁気ディスク
furniture_establish-20050302,洗面器よりも大きな両面ディスクを50枚搭載した大容量ストレージ(3.75MB)。読み取る時に、機織り機のような音が鳴り響くが、手で直接記録するよりはよっぽどマシだろう。
furniture_establish-10050303,初期型磁気ディスク
furniture_establish-20050303,洗面器よりも大きな両面ディスクを50枚搭載した大容量ストレージ(3.75MB)。読み取る時に、機織り機のような音が鳴り響くが、手で直接記録するよりはよっぽどマシだろう。
furniture_establish-10050304,初期型磁気ディスク
furniture_establish-20050304,洗面器よりも大きな両面ディスクを50枚搭載した大容量ストレージ(3.75MB)。読み取る時に、機織り機のような音が鳴り響くが、手で直接記録するよりはよっぽどマシだろう。
furniture_establish-10050305,初期型磁気ディスク
furniture_establish-20050305,洗面器よりも大きな両面ディスクを50枚搭載した大容量ストレージ(3.75MB)。読み取る時に、機織り機のような音が鳴り響くが、手で直接記録するよりはよっぽどマシだろう。
furniture_establish-10050306,先進型ハードディスク
furniture_establish-20050306,新技術を採用したことにより、データサンプルを2.52GBも保管できるようになった。おおむね満足ではあるものの、「読み取る時の光は正常なもので、放射線はないんだ」と人形たちを説得することには苦労する。そもそも、人形たちが放射線を気にすることないのに！
furniture_establish-10050307,先進型ハードディスク
furniture_establish-20050307,新技術を採用したことにより、データサンプルを2.52GBも保管できるようになった。おおむね満足ではあるものの、「読み取る時の光は正常なもので、放射線はないんだ」と人形たちを説得することには苦労する。そもそも、人形たちが放射線を気にすることないのに！
furniture_establish-10050308,先進型ハードディスク
furniture_establish-20050308,新技術を採用したことにより、データサンプルを2.52GBも保管できるようになった。おおむね満足ではあるものの、「読み取る時の光は正常なもので、放射線はないんだ」と人形たちを説得することには苦労する。そもそも、人形たちが放射線を気にすることないのに！
furniture_establish-10050309,先進型ハードディスク
furniture_establish-20050309,新技術を採用したことにより、データサンプルを2.52GBも保管できるようになった。おおむね満足ではあるものの、「読み取る時の光は正常なもので、放射線はないんだ」と人形たちを説得することには苦労する。そもそも、人形たちが放射線を気にすることないのに！
furniture_establish-10050310,水冷式超速記憶装置
furniture_establish-20050310,データサンプルストレージの究極形態。読み込みも書き込みもメチャメチャ速くなった代わりに、特殊冷却液が必要となった。マジパネェ。
furniture_establish-10050400,埃を被った解析機
furniture_establish-20050400,防水シートの下にあったのは巨大な鉄のトランクだった。よくわからないメーターやつまみがたくさん付いているが、これを起動することでデータの解析が始まり、強力な武器の設計図が手に入るらしい。少なくとも上にはそう記されている。
furniture_establish-10050401,汎用チューリング解析機
furniture_establish-20050401,アラン・チューリングの考えを実現しようと試作された、設計上は完璧な解析機。しかし、いざ実用となると分析速度や持てるスレッドの数に大きな制限があったりと、様々な問題が山積みだったが、どうにか解析はできるものになった。
furniture_establish-10050402,汎用チューリング解析機
furniture_establish-20050402,アラン・チューリングの考えを実現しようと試作された、設計上は完璧な解析機。しかし、いざ実用となると分析速度や持てるスレッドの数に大きな制限があったりと、様々な問題が山積みだったが、どうにか解析はできるものになった。
furniture_establish-10050403,汎用チューリング解析機
furniture_establish-20050403,アラン・チューリングの考えを実現しようと試作された、設計上は完璧な解析機。しかし、いざ実用となると分析速度や持てるスレッドの数に大きな制限があったりと、様々な問題が山積みだったが、どうにか解析はできるものになった。
furniture_establish-10050404,汎用チューリング解析機
furniture_establish-20050404,アラン・チューリングの考えを実現しようと試作された、設計上は完璧な解析機。しかし、いざ実用となると分析速度や持てるスレッドの数に大きな制限があったりと、様々な問題が山積みだったが、どうにか解析はできるものになった。
furniture_establish-10050405,汎用チューリング解析機
furniture_establish-20050405,アラン・チューリングの考えを実現しようと試作された、設計上は完璧な解析機。しかし、いざ実用となると分析速度や持てるスレッドの数に大きな制限があったりと、様々な問題が山積みだったが、どうにか解析はできるものになった。
furniture_establish-10050406,先進的な大型解析機
furniture_establish-20050406,巨大な筐体の内部には、96Kもの大容量なメモリと高速演算が可能なCPUが備えられている。解析速度とスレッド数はもはや新たな領域へと突入し、ド派手に光るライトも非常にかっこよさを際立たせている。まさに解析機の中のユニコーンとも言えよう。
furniture_establish-10050407,先進的な大型解析機
furniture_establish-20050407,巨大な筐体の内部には、96Kもの大容量なメモリと高速演算が可能なCPUが備えられている。解析速度とスレッド数はもはや新たな領域へと突入し、ド派手に光るライトも非常にかっこよさを際立たせている。まさに解析機の中のユニコーンとも言えよう。
furniture_establish-10050408,先進的な大型解析機
furniture_establish-20050408,巨大な筐体の内部には、96Kもの大容量なメモリと高速演算が可能なCPUが備えられている。解析速度とスレッド数はもはや新たな領域へと突入し、ド派手に光るライトも非常にかっこよさを際立たせている。まさに解析機の中のユニコーンとも言えよう。
furniture_establish-10050409,先進的な大型解析機
furniture_establish-20050409,巨大な筐体の内部には、96Kもの大容量なメモリと高速演算が可能なCPUが備えられている。解析速度とスレッド数はもはや新たな領域へと突入し、ド派手に光るライトも非常にかっこよさを際立たせている。まさに解析機の中のユニコーンとも言えよう。
furniture_establish-10050410,未来的な解析ターミナル
furniture_establish-20050410,計算機の演算速度をいくら上げたところで、精密な人の脳とは比べものにならない。だが、両者の強みを組み合わせることで驚くべき解析速度が実現できる。――あれっ、止まっちゃった？……また寝てしまったんじゃないか、誰か見てきて！
furniture_establish-10050001,
furniture_establish-20050001,
furniture_establish-10050002,
furniture_establish-20050002,
furniture_establish-10050003,
furniture_establish-20050003,
furniture_establish-10050004,
furniture_establish-20050004,
furniture_establish-10050005,
furniture_establish-20050005,
furniture_establish-10060100,保管庫
furniture_establish-20060100,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060101,保管庫
furniture_establish-20060101,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060102,保管庫
furniture_establish-20060102,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060103,保管庫
furniture_establish-20060103,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060104,保管庫
furniture_establish-20060104,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060105,保管庫
furniture_establish-20060105,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060106,保管庫
furniture_establish-20060106,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060107,保管庫
furniture_establish-20060107,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060108,保管庫
furniture_establish-20060108,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060109,保管庫
furniture_establish-20060109,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060110,保管庫
furniture_establish-20060110,AIによって管理されたチップ保存倉庫。室温や湿度を自動で調節し回路の腐食を防いでくれるだけでなく、チップを規則正しく並べることもでき、空間を最大限効率よく使用できる。
furniture_establish-10060200,簡易メンテナンス装置
furniture_establish-20060200,一人用の基礎メンテナンス設備。こんなので本当にメンテナンスができるのか怪しい見た目をしているが、意外にもダメージを負った重装人形の修復に使える。しかも奇妙なことに、ここに入った人形たちは皆、柔軟剤の香りを纏いふかふかになって出てくるという。
furniture_establish-10060201,小型メンテナンス装置
furniture_establish-20060201,同時に二人をメンテナンスできるようになり、格納庫中が水浸しにならないよう給排水設備と電気の供給システムが一新された。幸い、水浸しになっても隣の射撃場のサンドバッグで水を遮ることができる。
furniture_establish-10060202,中型メンテナンス装置
furniture_establish-20060202,三連式の大きなメンテナンス設備群。ドライコースに乾燥機能、さらには仕上げとして芳香機能まで備え、女性指揮官から厚い支持を受けている。
furniture_establish-10060203,大型メンテナンス装置
furniture_establish-20060203,四連式となったメンテナンス設備群。除菌、抗アレルギー機能が実装され、言い訳をつけて修復を拒んでいた人形たちに断る理由はなくなった。もっとも、この最新設備の凄いところはA+++レベルの省エネ性能にあり、指揮官を破産のピンチから救ったという。
furniture_establish-10060300,総合室内訓練場
furniture_establish-20060300,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060301,総合室内訓練場
furniture_establish-20060301,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060302,総合室内訓練場
furniture_establish-20060302,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060303,総合室内訓練場
furniture_establish-20060303,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060304,総合室内訓練場
furniture_establish-20060304,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060305,総合室内訓練場
furniture_establish-20060305,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060306,総合室内訓練場
furniture_establish-20060306,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060307,総合室内訓練場
furniture_establish-20060307,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060308,総合室内訓練場
furniture_establish-20060308,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060309,総合室内訓練場
furniture_establish-20060309,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060310,総合室内訓練場
furniture_establish-20060310,多数の小隊が訓練で一斉射撃を行うことにより引き起こされる小さな地震は、近隣住民に警戒心を抱かせてしまっていた。この事実を隠蔽するため、射撃訓練を順番制にすることにしたが、訓練効率に変わりはない。
furniture_establish-10060001,
furniture_establish-20060001,
furniture_establish-10060002,
furniture_establish-20060002,
furniture_establish-10060003,
furniture_establish-20060003,
furniture_establish-10060005,
furniture_establish-20060005,
furniture_establish-10060400,エレベーター-重装兵舎へ
furniture_establish-20060400,エレベーター-重装兵舎へ
furniture_establish-10070100,エレベーター-格納庫へ
furniture_establish-20070100,エレベーター-格納庫へ
furniture_establish-10070001,
furniture_establish-20070001,
furniture_establish-10070002,
furniture_establish-20070002,
furniture_establish-10070003,
furniture_establish-20070003,
furniture_establish-10070004,
furniture_establish-20070004,
furniture_establish-10070005,
furniture_establish-20070005,
furniture_establish-10070006,
furniture_establish-20070006,
furniture_establish-10070007,
furniture_establish-20070007,
furniture_establish-10070008,
furniture_establish-20070008,
furniture_establish-10070009,
furniture_establish-20070009,
furniture_establish-10070010,
furniture_establish-20070010,
furniture_establish-10080001,壁紙
furniture_establish-20080001,壁紙
furniture_establish-10080002,フロア
furniture_establish-20080002,フロア
furniture_establish-10080003,
furniture_establish-20080003,
furniture_establish-10080004,
furniture_establish-20080004,
furniture_establish-10080005,
furniture_establish-20080005,
furniture_establish-10080006,
furniture_establish-20080006,
furniture_establish-10080007,ライブモニター
furniture_establish-20080007,ライブモニター
furniture_establish-10080009,
furniture_establish-20080009,
furniture_establish-10080010,
furniture_establish-20080010,
furniture_establish-10080011,ブラックマーケット
furniture_establish-20080011,引換
furniture_establish-10080012,
furniture_establish-20080012,
