gift_item-10000001,马卡洛夫-南瓜熊熊
gift_item-10002403,AA-12-太阳永不升起
gift_item-20002403,可解锁人形换装
gift_item-30002403,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002404,AN-94-潜水钟与人偶
gift_item-20002404,可解锁人形换装
gift_item-30002404,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002405,MP7-糖果枪弹
gift_item-20002405,可解锁人形换装
gift_item-30002405,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002406,FAL-FAL的夏天
gift_item-20002406,可解锁人形换装
gift_item-30002406,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002407,G36-和G36的五十天
gift_item-20002407,可解锁人形换装
gift_item-30002407,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002408,SPAS-12-盛夏的果实
gift_item-20002408,可解锁人形换装
gift_item-30002408,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002409,阿梅利-阿梅利的接球
gift_item-20002409,可解锁人形换装
gift_item-30002409,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002410,P38-魔女高徒
gift_item-20002410,可解锁人形换装
gift_item-30002410,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002501,MG5-黑疫骑士
gift_item-20002501,可解锁人形换装
gift_item-30002501,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002502,G11-朵拉贡 Jr.
gift_item-20002502,可解锁人形换装
gift_item-30002502,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002503,M1887-猎魔法则
gift_item-20002503,可解锁人形换装
gift_item-30002503,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002504,80式-钢化蝴蝶
gift_item-20002504,可解锁人形换装
gift_item-30002504,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002505,M1897-电子女巫
gift_item-20002505,可解锁人形换装
gift_item-30002505,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002601,S.A.T.8-南瓜串串
gift_item-20002601,可解锁人形换装
gift_item-30002601,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002602,TAC-50-精灵狙魔士
gift_item-20002602,可解锁人形换装
gift_item-30002602,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002603,MDR-幽灵陷阱
gift_item-20002603,可解锁人形换装
gift_item-30002603,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002604,FAMAS-枪炮与边箱
gift_item-20002604,可解锁人形换装
gift_item-30002604,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002605,布伦-杰克的三分相
gift_item-20002605,可解锁人形换装
gift_item-30002605,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002606,F1-黑魔女学院
gift_item-20002606,可解锁人形换装
gift_item-30002606,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002701,HK21-击穿锁链的子弹
gift_item-20002701,可解锁人形换装
gift_item-30002701,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002702,JS05-离别之奏
gift_item-20002702,可解锁人形换装
gift_item-30002702,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002703,PM-06-翱翔天空之法
gift_item-20002703,可解锁人形换装
gift_item-30002703,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002704,USAS-12-VRAIN Power
gift_item-20002704,可解锁人形换装
gift_item-30002704,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002705,HK45-奇迹☆开始
gift_item-20002705,可解锁人形换装
gift_item-30002705,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002706,纳甘左轮-群星之绊
gift_item-20002706,可解锁人形换装
gift_item-30002706,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002801,Px4 风暴-圣诞晨间女王
gift_item-20002801,可解锁人形换装
gift_item-30002801,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002802,P90-绯红涡轮
gift_item-20002802,可解锁人形换装
gift_item-30002802,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002803,ART556-扫烟囱的小姑娘
gift_item-20002803,可解锁人形换装
gift_item-30002803,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002804,FP-6-恋爱卫星
gift_item-20002804,可解锁人形换装
gift_item-30002804,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002805,Five-seveN-蓝色的圣诞
gift_item-20002805,可解锁人形换装
gift_item-30002805,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002806,G36-每个孩子的圣诞梦
gift_item-20002806,可解锁人形换装
gift_item-30002806,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002807,TMP-红耳朵猫TMP
gift_item-20002807,可解锁人形换装
gift_item-30002807,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002901,64式自-新年祈愿
gift_item-20002901,可解锁人形换装
gift_item-30002901,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002902,RFB-正月游戏大师
gift_item-20002902,可解锁人形换装
gift_item-30002902,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002903,樱花-枪使巫女
gift_item-20002903,可解锁人形换装
gift_item-30002903,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002904,卡尔卡诺M91/38-Insegui l'aquilone
gift_item-20002904,可解锁人形换装
gift_item-30002904,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002905,卡尔卡诺M1891-起始的钟声
gift_item-20002905,可解锁人形换装
gift_item-30002905,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002906,M1014-雪月花
gift_item-20002906,可解锁人形换装
gift_item-30002906,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002907,AS Val-梦花火
gift_item-20002907,可解锁人形换装
gift_item-30002907,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002908,62式-新年游园会
gift_item-20002908,可解锁人形换装
gift_item-30002908,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000521,UMP45-冬之旅
gift_item-20000521,可解锁人形换装
gift_item-30000521,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003001,OTs-14-紫雨心
gift_item-20003001,可解锁人形换装
gift_item-30003001,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003002,AK-74U-君影草
gift_item-20003002,可解锁人形换装
gift_item-30003002,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003003,88式-朵幽兰
gift_item-20003003,可解锁人形换装
gift_item-30003003,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003004,IWS 2000-薄雪绒
gift_item-20003004,可解锁人形换装
gift_item-30003004,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003005,CZ75-金莲花
gift_item-20003005,可解锁人形换装
gift_item-30003005,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003006,MP5-山苏子
gift_item-20003006,可解锁人形换装
gift_item-30003006,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003007,CZ52-琉璃唐
gift_item-20003007,可解锁人形换装
gift_item-30003007,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003101,索米-幸福使命
gift_item-20003101,可解锁人形换装
gift_item-30003101,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003102,PKP-银白之星
gift_item-20003102,可解锁人形换装
gift_item-30003102,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003103,G36C-迈出步伐的你
gift_item-20003103,可解锁人形换装
gift_item-30003103,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003105,Mk23-传达到的心意
gift_item-20003105,可解锁人形换装
gift_item-30003105,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003106,T-5000-誓约变身
gift_item-20003106,可解锁人形换装
gift_item-30003106,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003107,猎豹M1-期待着的明天
gift_item-20003107,可解锁人形换装
gift_item-30003107,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000522,SPAS-12-宪兵乐手
gift_item-20000522,可解锁人形换装
gift_item-30000522,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000523,GSh-18-行走的手术台
gift_item-20000523,可解锁人形换装
gift_item-30000523,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003201,竞争者-龙狼子
gift_item-20003201,可解锁人形换装
gift_item-30003201,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003202,内格夫-黑石姬
gift_item-20003202,可解锁人形换装
gift_item-30003202,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003203,SPAS-12-哥布林猎手
gift_item-20003203,可解锁人形换装
gift_item-30003203,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003204,托卡列夫-格里芬的舞娘
gift_item-20003204,可解锁人形换装
gift_item-30003204,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003205,IDW-斗篷与猫耳
gift_item-20003205,可解锁人形换装
gift_item-30003205,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003301,K2-黎明之前
gift_item-20003301,可解锁人形换装
gift_item-30003301,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003302,AK-12-静寂苍蓝
gift_item-20003302,可解锁人形换装
gift_item-30003302,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003303,AN-94-沉默嫣红
gift_item-20003303,可解锁人形换装
gift_item-30003303,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003304,M99-白兔夏宴
gift_item-20003304,可解锁人形换装
gift_item-30003304,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003305,MDR-酒会观测者
gift_item-20003305,可解锁人形换装
gift_item-30003305,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003306,79式-星夜狐步
gift_item-20003306,可解锁人形换装
gift_item-30003306,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003307,G28-月光与祖母绿
gift_item-20003307,可解锁人形换装
gift_item-30003307,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003308,K5-命运华尔兹
gift_item-20003308,可解锁人形换装
gift_item-30003308,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003309,雷电-黑天鹅的梦
gift_item-20003309,可解锁人形换装
gift_item-30003309,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000524,史黛拉·星井-挚友的铠甲
gift_item-20000524,可解锁人形换装
gift_item-30000524,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000525,多萝西·海兹-珍稀圣诞礼服
gift_item-20000525,可解锁人形换装
gift_item-30000525,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000526,达娜·赞恩-赤色彗星
gift_item-20000526,可解锁人形换装
gift_item-30000526,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000527,赛伊·朝雾-挚友的便装
gift_item-20000527,可解锁人形换装
gift_item-30000527,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000528,阿尔玛·阿玛斯-中学大冒险
gift_item-20000528,可解锁人形换装
gift_item-30000528,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000529,吉尔·斯汀雷-模特战士
gift_item-20000529,可解锁人形换装
gift_item-30000529,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003401,HK416-黑猫的赠礼
gift_item-20003401,可解锁人形换装
gift_item-30003401,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003402,K11-小小科学家
gift_item-20003402,可解锁人形换装
gift_item-30003402,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003403,UMP45-特工垂耳兔
gift_item-20003403,可解锁人形换装
gift_item-30003403,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003404,UMP9-柴犬侦查员
gift_item-20003404,可解锁人形换装
gift_item-30003404,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003405,KSVK-天使的画笔
gift_item-20003405,可解锁人形换装
gift_item-30003405,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003406,OTs-44-超能少女猪
gift_item-20003406,可解锁人形换装
gift_item-30003406,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003501,R93-长假幸运星
gift_item-20003501,可解锁人形换装
gift_item-30003501,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003502,刘易斯-防晒大作战
gift_item-20003502,可解锁人形换装
gift_item-30003502,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003503,C-MS-进击的飞鱼
gift_item-20003503,可解锁人形换装
gift_item-30003503,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003504,88式-反溺水配件
gift_item-20003504,可解锁人形换装
gift_item-30003504,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003505,四式-海角四号
gift_item-20003505,可解锁人形换装
gift_item-30003505,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003506,谢尔久科夫-黑鸦救生员
gift_item-20003506,可解锁人形换装
gift_item-30003506,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003507,Z-62-游泳课题
gift_item-20003507,可解锁人形换装
gift_item-30003507,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003601,ADS-水色青春
gift_item-20003601,可解锁人形换装
gift_item-30003601,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003602,S.A.T.8-少女密话
gift_item-20003602,可解锁人形换装
gift_item-30003602,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003603,G36-月下祈愿
gift_item-20003603,可解锁人形换装
gift_item-30003603,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003604,M249 SAW-胧月夜
gift_item-20003604,可解锁人形换装
gift_item-30003604,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003605,OTs-12-百花缭乱
gift_item-20003605,可解锁人形换装
gift_item-30003605,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003701,PA-15-高校心跳物语
gift_item-20003701,可解锁人形换装
gift_item-30003701,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003702,95式-纯白毕业祭
gift_item-20003702,可解锁人形换装
gift_item-30003702,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003703,97式-迟到戏码
gift_item-20003703,可解锁人形换装
gift_item-30003703,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003704,SR-3MP-特攻队长兔
gift_item-20003704,可解锁人形换装
gift_item-30003704,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003705,Mk23-宣告开学的猫之歌
gift_item-20003705,可解锁人形换装
gift_item-30003705,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003706,M590-放课后的消遣
gift_item-20003706,可解锁人形换装
gift_item-30003706,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003707,M500-课间白日梦
gift_item-20003707,可解锁人形换装
gift_item-30003707,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003708,TMP-喵棱镜威力
gift_item-20003708,可解锁人形换装
gift_item-30003708,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003801,QBU-88-拦路劫糖！
gift_item-20003801,可解锁人形换装
gift_item-30003801,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003802,G36C-灼眼的G36C
gift_item-20003802,可解锁人形换装
gift_item-30003802,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003803,M870-南瓜堡垒
gift_item-20003803,可解锁人形换装
gift_item-30003803,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003805,KSVK-月暗面漫步
gift_item-20003805,可解锁人形换装
gift_item-30003805,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003806,MG3-满月请睁眼
gift_item-20003806,可解锁人形换装
gift_item-30003806,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003807,97式霰-奇谋妙策九七计
gift_item-20003807,可解锁人形换装
gift_item-30003807,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003808,PSG-1-魅影突击
gift_item-20003808,可解锁人形换装
gift_item-30003808,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003809,Model L-暗夜炼狱刹
gift_item-20003809,可解锁人形换装
gift_item-30003809,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003901,Saiga-12-茜红领航
gift_item-20003901,可解锁人形换装
gift_item-30003901,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003902,P22-跃动冲刺
gift_item-20003902,可解锁人形换装
gift_item-30003902,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003903,UKM-2000-急速风流
gift_item-20003903,可解锁人形换装
gift_item-30003903,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003904,M2HB-热砂声援
gift_item-20003904,可解锁人形换装
gift_item-30003904,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10003905,PPK-烈旋音波
gift_item-20003905,可解锁人形换装
gift_item-30003905,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10400001,突击成长存储碟
gift_item-20400001,无
gift_item-30400001,仅供融合势力人形使用的学习磁盘，内部记载了格里芬的战斗课程和思想品德课程。
gift_item-10004001,刘易斯-圣夜约定
gift_item-20004001,可解锁人形换装
gift_item-30004001,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004002,HK21-银狐的⅑月台
gift_item-20004002,可解锁人形换装
gift_item-30004002,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004003,CAWS-120份冬日礼物
gift_item-20004003,可解锁人形换装
gift_item-30004003,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004004,樱花-埋入心底的宝藏
gift_item-20004004,可解锁人形换装
gift_item-30004004,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004005,蜜獾-圣诞公主和不笑贝特
gift_item-20004005,可解锁人形换装
gift_item-30004005,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004006,猎豹M1-无垢庇护者
gift_item-20004006,可解锁人形换装
gift_item-30004006,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004007,LWMMG-12月是我的谎言
gift_item-20004007,可解锁人形换装
gift_item-30004007,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004101,SR-3MP-神子上上签
gift_item-20004101,可解锁人形换装
gift_item-30004101,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004102,G11-福鼠懒春
gift_item-20004102,可解锁人形换装
gift_item-30004102,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004103,四式-花拍子
gift_item-20004103,可解锁人形换装
gift_item-30004103,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004104,9A-91-蕊梦矢
gift_item-20004104,可解锁人形换装
gift_item-30004104,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004105,MG3-贺岁狮舞
gift_item-20004105,可解锁人形换装
gift_item-30004105,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004106,M1A1-红梅照雪
gift_item-20004106,可解锁人形换装
gift_item-30004106,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004107,隼-伴君侧
gift_item-20004107,可解锁人形换装
gift_item-30004107,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004201,DP-12-花月夜行灯
gift_item-20004201,可解锁人形换装
gift_item-30004201,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004202,PA-15-翠雀媚
gift_item-20004202,可解锁人形换装
gift_item-30004202,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004203,PKP-青竹矜
gift_item-20004203,可解锁人形换装
gift_item-30004203,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004204,JS 9-棣棠卿
gift_item-20004204,可解锁人形换装
gift_item-30004204,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004205,MG36-悬铃绯
gift_item-20004205,可解锁人形换装
gift_item-30004205,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004206,T91-珠梅雪
gift_item-20004206,可解锁人形换装
gift_item-30004206,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004207,SPP-1-蓝莲夜
gift_item-20004207,可解锁人形换装
gift_item-30004207,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004208,M1895 CB-杓兰雅
gift_item-20004208,可解锁人形换装
gift_item-30004208,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004209,EM-2-丁香意
gift_item-20004209,可解锁人形换装
gift_item-30004209,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004210,MG34-碧桃仙
gift_item-20004210,可解锁人形换装
gift_item-30004210,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004301,Kar98k-手心的朱砂痣
gift_item-20004301,可解锁人形换装
gift_item-30004301,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004302,M950A-柳莺与蔷薇
gift_item-20004302,可解锁人形换装
gift_item-30004302,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004303,灰熊MkⅤ-星夜落雨之时
gift_item-20004303,可解锁人形换装
gift_item-30004303,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004304,Zas M21-花之后的情愫
gift_item-20004304,可解锁人形换装
gift_item-30004304,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004305,M1014-天使像前的心跳
gift_item-20004305,可解锁人形换装
gift_item-30004305,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004306,斯捷奇金-山茶小姐的特别服务
gift_item-20004306,可解锁人形换装
gift_item-30004306,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004308,FNC-草莓蛋糕与波斯花
gift_item-20004308,可解锁人形换装
gift_item-30004308,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004309,RMB-93-触不到的月光情人
gift_item-20004309,可解锁人形换装
gift_item-30004309,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004310,马卡洛夫-某不科学的向日葵
gift_item-20004310,可解锁人形换装
gift_item-30004310,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004401,AA-12-无烟棒棒糖
gift_item-20004401,可解锁人形换装
gift_item-30004401,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004402,PA-15-奇妙山药饼
gift_item-20004402,可解锁人形换装
gift_item-30004402,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004403,A-91-可燃乌龙茶
gift_item-20004403,可解锁人形换装
gift_item-30004403,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004404,P30-恶魔指环糖
gift_item-20004404,可解锁人形换装
gift_item-30004404,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004405,PP-19-01-碳酸跳跳糖
gift_item-20004405,可解锁人形换装
gift_item-30004405,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004406,NS2000-百味咖喱兔
gift_item-20004406,可解锁人形换装
gift_item-30004406,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000530,M4A1-少女的气球漫游记
gift_item-20000530,可解锁人形换装
gift_item-30000530,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000531,M4 SOPMODII-被守护的宠爱者
gift_item-20000531,可解锁人形换装
gift_item-30000531,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000532,ST AR-15-飘向花海的礼帽
gift_item-20000532,可解锁人形换装
gift_item-30000532,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000533,M16A1-独眼的白兔骑士
gift_item-20000533,可解锁人形换装
gift_item-30000533,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000534,RO635-稻田里的守护者
gift_item-20000534,可解锁人形换装
gift_item-30000534,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000535,UMP45-逐愿的礼花魔法师
gift_item-20000535,可解锁人形换装
gift_item-30000535,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000536,UMP9-偿愿的礼花魔法师
gift_item-20000536,可解锁人形换装
gift_item-30000536,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000537,HK416-千宵草味的锡纸糖
gift_item-20000537,可解锁人形换装
gift_item-30000537,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000538,G11-寻找勇气的雷克斯兔
gift_item-20000538,可解锁人形换装
gift_item-30000538,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000539,UMP40-守望心愿的暗影女巫
gift_item-20000539,可解锁人形换装
gift_item-30000539,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004501,OTs-14-晚宴的统治者
gift_item-20004501,可解锁人形换装
