furniture_establish-10010001,救助站墙纸
furniture_establish-20030310,一座对环境友好，全部使用可再生能源的先进仓库模型，最重要的还是冷淡的几何结构设计，不然怎么能拿普利兹克奖呢。
furniture_establish-10030400,空白的天气系统
furniture_establish-20030400,天花板上有几个钩子，在这打造一个逼真的天气系统能让妖精心情愉悦，还能提升经验获取速度，毕竟在幽暗的地下，保持好心情是一切的前提。
furniture_establish-10030401,乌云天气系统
furniture_establish-20030401,一片小乌云是一切的开始，可不要小看这个，如何用棉花，胶水和喷漆制作一片乌云可是模型界的高端技巧。
furniture_establish-10030402,乌云天气系统
furniture_establish-20030402,一片小乌云是一切的开始，可不要小看这个，如何用棉花，胶水和喷漆制作一片乌云可是模型界的高端技巧。
furniture_establish-10030403,乌云天气系统
furniture_establish-20030403,一片小乌云是一切的开始，可不要小看这个，如何用棉花，胶水和喷漆制作一片乌云可是模型界的高端技巧。
furniture_establish-10030404,乌云天气系统
furniture_establish-20030404,一片小乌云是一切的开始，可不要小看这个，如何用棉花，胶水和喷漆制作一片乌云可是模型界的高端技巧。
furniture_establish-10030405,乌云天气系统
furniture_establish-20030405,一片小乌云是一切的开始，可不要小看这个，如何用棉花，胶水和喷漆制作一片乌云可是模型界的高端技巧。
furniture_establish-10030406,暗月天气系统
furniture_establish-20030406,神秘的暗月在乌云后露出斑驳的边缘，妖精们雀跃着拿出塔罗牌和召唤蜡烛，希望她们不要搞出什么奇怪的乱子。
furniture_establish-10030407,暗月天气系统
furniture_establish-20030407,神秘的暗月在乌云后露出斑驳的边缘，妖精们雀跃着拿出塔罗牌和召唤蜡烛，希望她们不要搞出什么奇怪的乱子。
furniture_establish-10030408,暗月天气系统
furniture_establish-20030408,神秘的暗月在乌云后露出斑驳的边缘，妖精们雀跃着拿出塔罗牌和召唤蜡烛，希望她们不要搞出什么奇怪的乱子。
furniture_establish-10030409,暗月天气系统
furniture_establish-20030409,神秘的暗月在乌云后露出斑驳的边缘，妖精们雀跃着拿出塔罗牌和召唤蜡烛，希望她们不要搞出什么奇怪的乱子。
furniture_establish-10030410,双月天气系统
furniture_establish-20030410,有什么比一个月亮组成的天气系统更棒呢？答案是有两个月亮的天气系统！而且还在闪闪发光，比土豆一样的火卫一和火卫二漂亮多了。
furniture_establish-10040001,咖啡厅墙纸
furniture_establish-20040001,咖啡厅墙纸
furniture_establish-10040003,咖啡厅地板
furniture_establish-20040003,咖啡厅地板
furniture_establish-10040004,咖啡厅地毯
furniture_establish-20040004,咖啡厅地毯
furniture_establish-10040005,咖啡厅吧台桌
furniture_establish-20040005,咖啡厅吧台桌
furniture_establish-10040006,咖啡厅挂架
furniture_establish-20040006,咖啡厅挂架
furniture_establish-10040007,咖啡厅壁挂
furniture_establish-20040007,咖啡厅壁挂
furniture_establish-10040008,咖啡厅地面音响
furniture_establish-20040008,咖啡厅地面音响
furniture_establish-10040009,咖啡厅桌子中
furniture_establish-20040009,咖啡厅桌子中
furniture_establish-10040010,咖啡厅桌子右
furniture_establish-20040010,咖啡厅桌子右
furniture_establish-10040011,咖啡厅咖啡豆容器
furniture_establish-20040011,咖啡厅咖啡豆容器
furniture_establish-10040013,咖啡厅椅子高脚
furniture_establish-20040013,咖啡厅椅子高脚
furniture_establish-10040014,咖啡厅地毯
furniture_establish-20040014,咖啡厅地毯
furniture_establish-10040016,咖啡厅椅子左
furniture_establish-20040016,咖啡厅椅子左
furniture_establish-10040017,咖啡厅椅子右
furniture_establish-20040017,咖啡厅椅子右
furniture_establish-10040018,咖啡厅椅子高脚
furniture_establish-20040018,咖啡厅椅子高脚
furniture_establish-10040019,咖啡吧台后挡板
furniture_establish-20040019,咖啡吧台后挡板
furniture_establish-10040020,咖啡厅椅子右
furniture_establish-20040020,咖啡厅椅子右
furniture_establish-10040021,咖啡厅椅子高脚无交互
furniture_establish-20040021,咖啡厅椅子高脚无交互
furniture_establish-10040022,咖啡吧台冰箱
furniture_establish-20040022,咖啡吧台冰箱
furniture_establish-10040023,咖啡机
furniture_establish-20040023,咖啡吧台咖啡机
furniture_establish-10040024,留声机
furniture_establish-20040024,留声机
furniture_establish-10040025,咖啡厅椅子高脚无交互
furniture_establish-20040025,咖啡厅椅子高脚无交互
furniture_establish-10040026,笔记簿
furniture_establish-20040026,笔记簿
furniture_establish-10040027,放映机
furniture_establish-20040027,放映机
furniture_establish-10040028,漫画柜
furniture_establish-20040028,咖啡厅漫画柜
furniture_establish-10050100,尘封的监听站 
furniture_establish-20050100,蒙尘的帆布下好像罩着什么电子设备，看起来像是一座古老的无线电台，上面有模糊的“WAVE”铭文。
furniture_establish-10050101,短波监听站
furniture_establish-20050101,曾经在战争时期，情报人员靠着这样古老的设备，破译了无数机密电文，扭转了战局的走向，现在你也可以！
furniture_establish-10050102,短波监听站
furniture_establish-20050102,曾经在战争时期，情报人员靠着这样古老的设备，破译了无数机密电文，扭转了战局的走向，现在你也可以！
furniture_establish-10050103,短波监听站
furniture_establish-20050103,曾经在战争时期，情报人员靠着这样古老的设备，破译了无数机密电文，扭转了战局的走向，现在你也可以！
furniture_establish-10050104,短波监听站
furniture_establish-20050104,曾经在战争时期，情报人员靠着这样古老的设备，破译了无数机密电文，扭转了战局的走向，现在你也可以！
furniture_establish-10050105,短波监听站
furniture_establish-20050105,曾经在战争时期，情报人员靠着这样古老的设备，破译了无数机密电文，扭转了战局的走向，现在你也可以！
furniture_establish-10050106,长波监听站
furniture_establish-20050106,好吧，在地下设施里架设无线电天线的确效果不佳，所以现在我们把天线架出基地外了，现在可以截获更广范围的情报了。
furniture_establish-10050107,长波监听站
furniture_establish-20050107,好吧，在地下设施里架设无线电天线的确效果不佳，所以现在我们把天线架出基地外了，现在可以截获更广范围的情报了。
furniture_establish-10050108,长波监听站
furniture_establish-20050108,好吧，在地下设施里架设无线电天线的确效果不佳，所以现在我们把天线架出基地外了，现在可以截获更广范围的情报了。
furniture_establish-10050109,长波监听站
furniture_establish-20050109,好吧，在地下设施里架设无线电天线的确效果不佳，所以现在我们把天线架出基地外了，现在可以截获更广范围的情报了。
furniture_establish-10050110,数据监测枢纽
furniture_establish-20050110,信息时代的情报工作，需要WAVE提供的更先进的设备来应对爆炸的信息量，新增的强化学习系统可以过滤互联网时代产生的大量垃圾广告，有效情报比例提升了！
furniture_establish-10050200,尘封的任务简报台
furniture_establish-20050200,在情报工作的长河中，有许多谜团就是在这样朴素的情报板前被破解的，现在它就静静地立在这里，等你掀开蒙布。
furniture_establish-10050201,临时任务简报台
furniture_establish-20050201,每个情报人员（和扮演情报人员的）的必备道具，如果错综复杂的线索连线还不够，这台古老的密码机一定能把你绕晕，毕竟人们都说：想骗敌人要先骗过自己~
furniture_establish-10050202,临时任务简报台
furniture_establish-20050202,每个情报人员（和扮演情报人员的）的必备道具，如果错综复杂的线索连线还不够，这台古老的密码机一定能把你绕晕，毕竟人们都说：想骗敌人要先骗过自己~
furniture_establish-10050203,临时任务简报台
furniture_establish-20050203,每个情报人员（和扮演情报人员的）的必备道具，如果错综复杂的线索连线还不够，这台古老的密码机一定能把你绕晕，毕竟人们都说：想骗敌人要先骗过自己~
furniture_establish-10050204,临时任务简报台
furniture_establish-20050204,每个情报人员（和扮演情报人员的）的必备道具，如果错综复杂的线索连线还不够，这台古老的密码机一定能把你绕晕，毕竟人们都说：想骗敌人要先骗过自己~
furniture_establish-10050205,临时任务简报台
furniture_establish-20050205,每个情报人员（和扮演情报人员的）的必备道具，如果错综复杂的线索连线还不够，这台古老的密码机一定能把你绕晕，毕竟人们都说：想骗敌人要先骗过自己~
furniture_establish-10050206,冷战任务简报台
furniture_establish-20050206,明亮灯箱发出冷光，穿透难以辨识的航拍胶片，照亮了台前面色凝重的指挥官，冷战时期你的同行们可能也是这个表情吧。“这些人竟然瞒报了轰炸机数量！”
furniture_establish-10050207,冷战任务简报台
furniture_establish-20050207,明亮灯箱发出冷光，穿透难以辨识的航拍胶片，照亮了台前面色凝重的指挥官，冷战时期你的同行们可能也是这个表情吧。“这些人竟然瞒报了轰炸机数量！”
furniture_establish-10050208,冷战任务简报台
furniture_establish-20050208,明亮灯箱发出冷光，穿透难以辨识的航拍胶片，照亮了台前面色凝重的指挥官，冷战时期你的同行们可能也是这个表情吧。“这些人竟然瞒报了轰炸机数量！”
furniture_establish-10050209,冷战任务简报台
furniture_establish-20050209,明亮灯箱发出冷光，穿透难以辨识的航拍胶片，照亮了台前面色凝重的指挥官，冷战时期你的同行们可能也是这个表情吧。“这些人竟然瞒报了轰炸机数量！”
furniture_establish-10050210,全息任务中心
furniture_establish-20050210,最先进技术加持的任务中心，全息屏幕上每个任务都配有多张详实的彩图，可一键下载到指挥官的移动设备上，更不用说还能以极高速度网上冲浪，太棒了。
furniture_establish-10050300,尘封的记录仪
furniture_establish-20050300,帆布下面看上去是个巨大沉重的装置，泛着重工业设备一样的金属光泽，很难和印象中的电子设备联系到一起，这个真能存储数据吗？
furniture_establish-10050301,早期磁盘记录仪
furniture_establish-20050301,拥有50张比脸盆还大的双面磁盘的大型存储设备（总容量3.75MB），虽然读取数据时候像织布机一样轰鸣，但总比手写文档好多了，不是吗？
furniture_establish-10050302,早期磁盘记录仪
furniture_establish-20050302,拥有50张比脸盆还大的双面磁盘的大型存储设备（总容量3.75MB），虽然读取数据时候像织布机一样轰鸣，但总比手写文档好多了，不是吗？
furniture_establish-10050303,早期磁盘记录仪
furniture_establish-20050303,拥有50张比脸盆还大的双面磁盘的大型存储设备（总容量3.75MB），虽然读取数据时候像织布机一样轰鸣，但总比手写文档好多了，不是吗？
furniture_establish-10050304,早期磁盘记录仪
furniture_establish-20050304,拥有50张比脸盆还大的双面磁盘的大型存储设备（总容量3.75MB），虽然读取数据时候像织布机一样轰鸣，但总比手写文档好多了，不是吗？
furniture_establish-10050305,早期磁盘记录仪
furniture_establish-20050305,拥有50张比脸盆还大的双面磁盘的大型存储设备（总容量3.75MB），虽然读取数据时候像织布机一样轰鸣，但总比手写文档好多了，不是吗？
furniture_establish-10050306,先进硬盘记录仪
furniture_establish-20050306,采用新技术的存储设备可以容纳多达2.52GB数据样本，其他都不错，只是说服战术少女们相信“读取数据时候的闪光是正常现象没有辐射”颇费功夫，而且人形本来也不怕辐射啊！
furniture_establish-10050307,先进硬盘记录仪
furniture_establish-20050307,采用新技术的存储设备可以容纳多达2.52GB数据样本，其他都不错，只是说服战术少女们相信“读取数据时候的闪光是正常现象没有辐射”颇费功夫，而且人形本来也不怕辐射啊！
furniture_establish-10050308,先进硬盘记录仪
furniture_establish-20050308,采用新技术的存储设备可以容纳多达2.52GB数据样本，其他都不错，只是说服战术少女们相信“读取数据时候的闪光是正常现象没有辐射”颇费功夫，而且人形本来也不怕辐射啊！
furniture_establish-10050309,先进硬盘记录仪
furniture_establish-20050309,采用新技术的存储设备可以容纳多达2.52GB数据样本，其他都不错，只是说服战术少女们相信“读取数据时候的闪光是正常现象没有辐射”颇费功夫，而且人形本来也不怕辐射啊！
furniture_establish-10050310,极速液冷记录仪
furniture_establish-20050310,数据样本存储的终极形态，因为读取和写入速度太快，平时需要浸入特殊冷却液中工作，真是太高科技了。
furniture_establish-10050400,尘封的解析仪
furniture_establish-20050400,防雨布下是一个庞大的铁皮箱子，和很多搞不懂作用的仪表和旋钮，启动这个机器应该就能开始对数据进行解析，产出强力武器的设计图了，至少上面是这么说的。
furniture_establish-10050401,通用图灵解析仪
furniture_establish-20050401,一次试图将图灵设想实现的尝试，虽然设计中很理想，可使用起来问题山积，分析速度和线程都受到很大的限制，不过总算可以开始进行解析了。
furniture_establish-10050402,通用图灵解析仪
furniture_establish-20050402,一次试图将图灵设想实现的尝试，虽然设计中很理想，可使用起来问题山积，分析速度和线程都受到很大的限制，不过总算可以开始进行解析了。
furniture_establish-10050403,通用图灵解析仪
furniture_establish-20050403,一次试图将图灵设想实现的尝试，虽然设计中很理想，可使用起来问题山积，分析速度和线程都受到很大的限制，不过总算可以开始进行解析了。
furniture_establish-10050404,通用图灵解析仪
furniture_establish-20050404,一次试图将图灵设想实现的尝试，虽然设计中很理想，可使用起来问题山积，分析速度和线程都受到很大的限制，不过总算可以开始进行解析了。
furniture_establish-10050405,通用图灵解析仪
furniture_establish-20050405,一次试图将图灵设想实现的尝试，虽然设计中很理想，可使用起来问题山积，分析速度和线程都受到很大的限制，不过总算可以开始进行解析了。
furniture_establish-10050406,先进大型解析仪
furniture_establish-20050406,新机器巨大的外壳内配备了高达96K的海量内存和高速处理器，解析速度和线程数都达到了新的境界，而且不断变幻的灯光也非常酷炫，可以说是解析仪中的独角兽了。
furniture_establish-10050407,先进大型解析仪
furniture_establish-20050407,新机器巨大的外壳内配备了高达96K的海量内存和高速处理器，解析速度和线程数都达到了新的境界，而且不断变幻的灯光也非常酷炫，可以说是解析仪中的独角兽了。
furniture_establish-10050408,先进大型解析仪
furniture_establish-20050408,新机器巨大的外壳内配备了高达96K的海量内存和高速处理器，解析速度和线程数都达到了新的境界，而且不断变幻的灯光也非常酷炫，可以说是解析仪中的独角兽了。
furniture_establish-10050409,先进大型解析仪
furniture_establish-20050409,新机器巨大的外壳内配备了高达96K的海量内存和高速处理器，解析速度和线程数都达到了新的境界，而且不断变幻的灯光也非常酷炫，可以说是解析仪中的独角兽了。
furniture_establish-10050410,未来解析终端
furniture_establish-20050410,运算速度再快的计算机，也比不上人类的精密大脑，将两者的优势相结合，解析速度就会快得吓人，咦，怎么解析卡住了... 快去看看是不是又睡着了！
furniture_establish-10050001,情报中心地板
furniture_establish-20050001,情报中心地板
furniture_establish-10050002,情报中心墙纸
furniture_establish-20050002,情报中心墙纸
furniture_establish-10050003,情报中心电线左
furniture_establish-20050003,情报中心电线左
furniture_establish-10050004,情报中心电线右
furniture_establish-20050004,情报中心电线右
furniture_establish-10050005,情报中心电线中
furniture_establish-20050005,情报中心电线中
furniture_establish-10060100,库房
furniture_establish-20060100,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060101,库房
furniture_establish-20060101,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060102,库房
furniture_establish-20060102,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060103,库房
furniture_establish-20060103,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060104,库房
furniture_establish-20060104,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060105,库房
furniture_establish-20060105,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060106,库房
furniture_establish-20060106,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060107,库房
furniture_establish-20060107,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060108,库房
furniture_establish-20060108,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060109,库房
furniture_establish-20060109,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060110,库房
furniture_establish-20060110,通过AI进行管理的芯片存储空间，在调节温湿度避免电路被腐蚀的同时，还能够自动将芯片组合成规则的形状堆叠摆放，以追求空间利用率的最大化。
furniture_establish-10060200,简易维修设备
furniture_establish-20060200,基础单人维修设备，虽然看起来用途可疑，但是意外地真的可以维修受损的重型部队人形，更神奇的是人形们出来都变得毛茸茸的，身上还有柔顺剂的香味。
furniture_establish-10060201,小型维修设备
furniture_establish-20060201,可以同时维修两个重型部队的人形，并且同时更新了进排水系统和供电系统，不然可能会全格纳库大水灾。幸运的是旁边的靶场有现成的沙包可以挡水。
furniture_establish-10060202,中型维修设备
furniture_establish-20060202, 三部维修设施并联的大规模维修阵列，此外还内置了轻柔漂洗和烘干功能，以及独立的香氛注入系统也深受女性指挥官欢迎。
furniture_establish-10060203,大型维修设备
furniture_establish-20060203,四联装的终极维修阵列，加入了除菌和抗过敏功能，这下那些吵闹着不愿维修的人形彻底没有借口了，更棒的是新机器还都是A+++级的能耗评级，拯救了濒临破产的指挥官。
furniture_establish-10060300,综合室内训练场
furniture_establish-20060300,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060301,综合室内训练场
furniture_establish-20060301,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060302,综合室内训练场
furniture_establish-20060302,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060303,综合室内训练场
furniture_establish-20060303,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060304,综合室内训练场
furniture_establish-20060304,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060305,综合室内训练场
furniture_establish-20060305,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060306,综合室内训练场
furniture_establish-20060306,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060307,综合室内训练场
furniture_establish-20060307,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060308,综合室内训练场
furniture_establish-20060308,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060309,综合室内训练场
furniture_establish-20060309,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060310,综合室内训练场
furniture_establish-20060310,多组人形训练时的齐射会导致当地小规模地震并引起当地居民的警觉，为了掩盖事实，现决定轮流进行射击训练，训练效率并不会改变。
furniture_establish-10060001,格纳库地板
furniture_establish-20060001,格纳库地板
furniture_establish-10060002,格纳库墙纸
furniture_establish-20060002,格纳库墙纸
furniture_establish-10060003,格纳库灯左
furniture_establish-20060003,格纳库灯左
furniture_establish-10060005,格纳库沙堆
furniture_establish-20060005,格纳库沙堆
furniture_establish-10060400,升降梯-前往军营
furniture_establish-20060400,升降梯-前往军营
furniture_establish-10070100,升降梯-前往格纳库
furniture_establish-20070100,升降梯-前往格纳库
furniture_establish-10070001,格纳库地板
furniture_establish-20070001,格纳库地板
furniture_establish-10070002,格纳库墙纸
furniture_establish-20070002,格纳库墙纸
furniture_establish-10070003,空白挂画1
furniture_establish-20070003,挂画1
furniture_establish-10070004,空白挂画2
furniture_establish-20070004,挂画2
furniture_establish-10070005,空白挂画3
furniture_establish-20070005,挂画3
furniture_establish-10070006,空白挂画4
furniture_establish-20070006,挂画4
furniture_establish-10070007,展台1
furniture_establish-20070007,展台1
furniture_establish-10070008,展台2
furniture_establish-20070008,展台2
furniture_establish-10070009,展台3
furniture_establish-20070009,展台3
furniture_establish-10070010,展台4
furniture_establish-20070010,展台4
furniture_establish-10080001,墙纸
furniture_establish-20080001,墙纸
furniture_establish-10080002,地板
furniture_establish-20080002,地板
furniture_establish-10080003,墙饰
furniture_establish-20080003,墙饰
furniture_establish-10080004,玻璃隔断
furniture_establish-20080004,玻璃隔断
furniture_establish-10080005,出入口+地毯
furniture_establish-20080005,出入口+地毯
furniture_establish-10080006,灯+地饰
furniture_establish-20080006,灯+地饰
furniture_establish-10080007,实时转播终端
furniture_establish-20080007,实时转播终端
furniture_establish-10080009,拣货机器(墙)
furniture_establish-20080009,拣货机器(墙)
furniture_establish-10080010,拣货机器(地)
furniture_establish-20080010,拣货机器(地)
furniture_establish-10080011,黑市商店
furniture_establish-20080011,黑市商店
furniture_establish-10080012,无人机出入口
furniture_establish-20080012,无人机出入口
furniture_establish-10080100,尘封的闸门控制台
furniture_establish-20080100,一座年久失修的闸门控制台，但好像总有一个声音在呼唤着你，去掀开防雨蒙布，向着未知的荒野展开一场壮大的远征。
furniture_establish-10080101,古老的闸门控制台
furniture_establish-20080101,四个显像管一起发出闪瞎眼的白光，其中一个还需要拍一拍才能让图像停止跳动，早知道就让格林娜把探索计划表抄写到纸上了…
furniture_establish-10080102,古老的闸门控制台
furniture_establish-20080102,四个显像管一起发出闪瞎眼的白光，其中一个还需要拍一拍才能让图像停止跳动，早知道就让格林娜把探索计划表抄写到纸上了…
furniture_establish-10080103,古老的闸门控制台
furniture_establish-20080103,四个显像管一起发出闪瞎眼的白光，其中一个还需要拍一拍才能让图像停止跳动，早知道就让格林娜把探索计划表抄写到纸上了…
furniture_establish-10080104,古老的闸门控制台
furniture_establish-20080104,四个显像管一起发出闪瞎眼的白光，其中一个还需要拍一拍才能让图像停止跳动，早知道就让格林娜把探索计划表抄写到纸上了…
furniture_establish-10080105,古老的闸门控制台
furniture_establish-20080105,四个显像管一起发出闪瞎眼的白光，其中一个还需要拍一拍才能让图像停止跳动，早知道就让格林娜把探索计划表抄写到纸上了…
furniture_establish-10080106,自动化闸门控制台
furniture_establish-20080106,多亏了新升级的8M内存和107M硬盘，现在系统可以支持指派更多人手外出探索了，甚至还可以在偷懒时玩一会“重返铁血总部3D版”。
furniture_establish-10080107,自动化闸门控制台
furniture_establish-20080107,多亏了新升级的8M内存和107M硬盘，现在系统可以支持指派更多人手外出探索了，甚至还可以在偷懒时玩一会“重返铁血总部3D版”。
furniture_establish-10080108,自动化闸门控制台
furniture_establish-20080108,多亏了新升级的8M内存和107M硬盘，现在系统可以支持指派更多人手外出探索了，甚至还可以在偷懒时玩一会“重返铁血总部3D版”。
furniture_establish-10080109,自动化闸门控制台
furniture_establish-20080109,多亏了新升级的8M内存和107M硬盘，现在系统可以支持指派更多人手外出探索了，甚至还可以在偷懒时玩一会“重返铁血总部3D版”。
furniture_establish-10080110,先进闸门控制台
furniture_establish-20080110,最先进的控制台不像以前每次重启要5分钟还经常出现硬盘坏道，奇怪的是指挥官的工作效率反而降低了，没关系，只要战术人形的探索效率提高了就好~
furniture_establish-10080300,初阶战利品储物柜
furniture_establish-20080300,简单的单层储物柜，可以存放几次探索行动寻回的战利品，指挥官请及时收取哦~ 战利品可以在房间左边找格林娜兑换一些急需的补给品。
furniture_establish-10080301,初阶战利品储物柜
furniture_establish-20080301,简单的单层储物柜，可以存放几次探索行动寻回的战利品，指挥官请及时收取哦~ 战利品可以在房间左边找格林娜兑换一些急需的补给品。
furniture_establish-10080302,中阶战利品储物柜
furniture_establish-20080302,双层储物柜，双层的容量带来的是更自由的上班时间，以及清空储物柜时更严重的拖延症，这就是为什么格里芬制式脏衣篓只有1升容量。
furniture_establish-10080303,中阶战利品储物柜
furniture_establish-20080303,双层储物柜，双层的容量带来的是更自由的上班时间，以及清空储物柜时更严重的拖延症，这就是为什么格里芬制式脏衣篓只有1升容量。
furniture_establish-10080304,高阶战利品储物柜
furniture_establish-20080304,最高级的多层储物柜，酷炫的机械手装作忙碌的上下摆动，但是并没有在做任何有意义的事，最终还是要指挥官亲手搬空柜子来兑换补给。
furniture_establish-10080305,高阶战利品储物柜
furniture_establish-20080305,最高级的多层储物柜，酷炫的机械手装作忙碌的上下摆动，但是并没有在做任何有意义的事，最终还是要指挥官亲手搬空柜子来兑换补给。
furniture_establish-10080306,高阶战利品储物柜
furniture_establish-20080306,最高级的多层储物柜，酷炫的机械手装作忙碌的上下摆动，但是并没有在做任何有意义的事，最终还是要指挥官亲手搬空柜子来兑换补给。
furniture_establish-10090001,墙纸*
furniture_establish-20090001,墙纸*
furniture_establish-10090002,地板*
furniture_establish-20090002,地板*
furniture_establish-10090003,前景*
furniture_establish-20090003,前景*
furniture_establish-10090004,地毯*
furniture_establish-20090004,地毯*
furniture_establish-10090005,研究台地台*
furniture_establish-20090005,研究台地台*
furniture_establish-10090006,捕获中心*
furniture_establish-20090006,捕获中心*
furniture_establish-10090100,脉冲反应堆
furniture_establish-20090100,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090101,脉冲反应堆
furniture_establish-20090101,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090102,脉冲反应堆
furniture_establish-20090102,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090103,脉冲反应堆
furniture_establish-20090103,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090104,脉冲反应堆
furniture_establish-20090104,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090105,脉冲反应堆
furniture_establish-20090105,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090106,脉冲反应堆
furniture_establish-20090106,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090107,脉冲反应堆
furniture_establish-20090107,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090108,脉冲反应堆
furniture_establish-20090108,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090109,脉冲反应堆
furniture_establish-20090109,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090110,脉冲反应堆
furniture_establish-20090110,储存与生产电子脉冲，升级提高存储上限与生产速度。
furniture_establish-10090200,战术芯片研发台
furniture_establish-20090200,升级战术芯片研发台，可解锁更多的战术芯片。
furniture_establish-10090201,战术芯片研发台
furniture_establish-20090201,升级战术芯片研发台，可解锁更多的战术芯片。
furniture_establish-10090202,战术芯片研发台
furniture_establish-20090202,升级战术芯片研发台，可解锁更多的战术芯片。
furniture_establish-10090203,战术芯片研发台
furniture_establish-20090203,升级战术芯片研发台，可解锁更多的战术芯片。
furniture_establish-10090204,战术芯片研发台
furniture_establish-20090204,升级战术芯片研发台，可解锁更多的战术芯片。
furniture_establish-10090205,战术芯片研发台
furniture_establish-20090205,升级战术芯片研发台，可解锁更多的战术芯片。
furniture_establish-10090400,对称灌输驱动器
furniture_establish-20090400,可以交换同名融合势力单位的等级、以太开发等级、峰值解析等级、好感度、技能等级。
