enemy_illustration-10000027,建筑师
enemy_illustration-30000081,逆向坍塌的影响虽然会令您的人形失去战斗能力，但是浮空的影响对于人形也是一种保护，合理应用这一点躲避难以抵挡的伤害吧！
enemy_illustration-10000082,蟹防炮
enemy_illustration-20000082,某军工企业耗费巨资打造的自律兵器//c采用了生物伪装兵器的究极设计//c但直观来讲只是把体型做得更大了而已//c制造方也否认这是导致企业倒闭的主要原因。
enemy_illustration-30000082,状态不佳时面对该单位合理规避
enemy_illustration-10000083,机蟹
enemy_illustration-20000083,某军工企业制造的旧式自律兵器//c以伪装成生物为出发点//c但因用力过猛//c做成了"只是很有攻击性的机械海鲜"而被驳回。
enemy_illustration-30000083,拥有小量护甲，移速较高。战斗前期即开始快速放置可爆炸的海星，我方人形触发时将会受到巨额伤害，请注意规避地雷或在战斗前期尽早歼灭该单位。
enemy_illustration-10000084,西瓜屋
enemy_illustration-20000084,某军工企业制造的旧式自律兵器//c用来生产拟态瓜的设施//c但经常因为不明真相的游客造访而影响开发进度。
enemy_illustration-30000084,高护甲单位，会源源不断的生产西瓜形态单位，不太适合突击步枪人形来应对。建议使用步枪人形处理。
enemy_illustration-10000085,拟态瓜
enemy_illustration-20000085,某军工企业制造的旧式自律兵器//c本意是伪装成美味的食物来骗过敌人//c但发生过验收人员误把它当做真的食物切开的意外。
enemy_illustration-30000085,拥有一定护甲，命中较高、伤害较低，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000086,切割者SWAP
enemy_illustration-20000086,切割者的升级版，火力和机动性都得到了很大的增强，强大的侦察能力外也是个难缠的敌人。
enemy_illustration-30000086,该单位能力均衡，请注意提高梯队的整体作战能力应对。
