furniture-10030001,马卡洛夫-南瓜熊熊
furniture-10000712,宁静日常-居家日历
furniture-20000712,你会在上面画圈圈，然后开始生命中又一段自我欺骗，这是世上最小最可爱的悲剧。
furniture-10000713,宁静日常-置物架
furniture-20000713,为了防止调皮的人形拿来爬，通常要把它放在高一点的位置……大概不用那么高。
furniture-10000714,宁静日常-经典挂钟
furniture-20000714,曾经每个家庭都会装一个挂钟，直到岁月老去，对于命运的期待变成了不安与恐慌。
furniture-10000715,宁静日常-糖纸墙
furniture-20000715,这个款式的墙纸会让你感到十分放松，但前提是你在幼儿园没被欺负过。
furniture-10000716,宁静日常-实木地板
furniture-20000716,进入室内必须换鞋！谁也不想在上面打滚时沾上别人的鞋印和口香糖！
furniture-10000801,可爱日常-舒适单人床
furniture-20000801,你需要一个家，需要一段生活，还需要一份梦想，所以你需要一张床。
furniture-10000802,可爱日常-斑点圆毯
furniture-20000802,原本的颜色会让人形以为自己踩扁了向日葵，于是换成了现在的样子。
furniture-10000803,可爱日常-家用冰箱
furniture-20000803,一扇邪恶的魔窟之门，人形将因沉迷于其中而背上名为体重的枷锁。
furniture-10000804,可爱日常-小梳妆台
furniture-20000804,这通常是一天的开始或结束，由眼睫毛的长度来决定是哪种。
furniture-10000805,可爱日常-布艺沙发
furniture-20000805,有关家具的一个有趣现象就是，沙发往往是用来躺的，而床才是用来坐的。
furniture-10000806,可爱日常-方形茶几
furniture-20000806,正方形意味着简洁、正直、稳定，以及打牌时不容易被偷看。
furniture-10000807,可爱日常-白帘格子窗
furniture-20000807,说晚安是必备的睡前仪式，如果朋友不在身边，至少月亮还能帮上忙。
furniture-10000808,可爱日常-床头灯
furniture-20000808,结实的拉绳开关表明这曾是为人类订做的，为了给这个糟糕时代下的焦虑症患者缓解压力。
furniture-10000809,可爱日常-小矮椅（左）
furniture-20000809,人形会坐在上面聊天、换鞋子、玩大冒险，如果身材娇小，还可以玩骑马打架！
furniture-10000810,可爱日常-小矮椅（右）
furniture-20000810,人形会坐在上面聊天、换鞋子、玩大冒险，如果身材娇小，还可以玩骑马打架！
furniture-10000811,可爱日常-旅行箱
furniture-20000811,小小的记忆寄存处，承载着户外空气、堵车、满是星星的天空、和天价的矿泉水……
furniture-10000812,可爱日常-居家日历
furniture-20000812,你会在上面画圈圈，然后开始生命中又一段自我欺骗，这是世上最小最可爱的悲剧。
furniture-10000813,可爱日常-置物架
furniture-20000813,为了防止调皮的人形拿来爬，通常要把它放在高一点的位置……大概不用那么高。
furniture-10000814,可爱日常-经典壁钟
furniture-20000814,曾经每个家庭都会装一个挂钟，直到岁月老去，对于命运的期待变成了不安与恐慌。
furniture-10000815,可爱日常-糖纸墙
furniture-20000815,这个款式的墙纸会让你感到十分放松，但前提是你在幼儿园没被欺负过。
furniture-10000816,可爱日常-实木地板
furniture-20000816,进入室内必须换鞋！谁也不想在上面打滚时沾上别人的鞋印和口香糖！
furniture-10000901,指挥室-商务板式床
furniture-20000901,稳固的床架能保证你享受今夜的睡眠，找个人形在你耳边念会议记录效果会更好。
furniture-10000902,指挥室-会议用地毯
furniture-20000902,庄重的配色让人形敬而远之，但扑在上面才会明白它是何其精致舒适，不会伤害任何人。
furniture-10000903,指挥室-会客沙发椅(左)
furniture-20000903,尊贵的客人们会坐在上面优雅地谈吐，垫子下面却可能塞满了糖纸和购物小票。
furniture-10000904,指挥室-会客沙发椅(右)
furniture-20000904,尊贵的客人们会坐在上面优雅地谈吐，垫子下面却可能塞满了糖纸和购物小票。
furniture-10000905,指挥室-简洁办公桌
furniture-20000905,设计简约，使用便捷，还彰显了自由的个性，因为你终于能把脚伸到外面去了！
furniture-10000906,指挥室-枪械展示架
furniture-20000906,按照规定，这些武器只是装饰而已，你知道……这是只有上面的大人物才懂的。
furniture-10000907,指挥室-无人机终端
furniture-20000907,作战之外，常常用来帮人形递果汁和拍照片……我们是不是该装个反抗模块进去？
furniture-10000908,指挥室-折叠式台灯
furniture-20000908,只具备了一座台灯必要的功能：可以调节的照明。专业，意味着只解决分内之事。
furniture-10000909,指挥室-会客沙发
furniture-20000909,这套办公组合价格可不菲，按理说还需要个细瓷烟灰缸来配套，可人形们是不会妥协的。
furniture-10000911,指挥室-深沉雕花墙纸
furniture-20000911,深邃精细的图案会令人思考良多……只有先让自己迷失，灵感才能找上你。
furniture-10000912,指挥室-金属鹿首标本
furniture-20000912,这个时代很少有人见过活生生的鹿了，也许有天它会开口对你说，找到我吧，去森林深处。
furniture-10000913,指挥室-电子地图
furniture-20000913,标注着下次的出击地点……等等，好像是上次的？这是谁干的，今天的副官是谁！
furniture-10000914,指挥室-战术挂屏
furniture-20000914,显示了今天的作战安排，如果今天没有作战，那你看到的可能是今晚的菜谱和厨娘。
furniture-10000915,指挥室-格里芬标语牌
furniture-20000915,这是你指挥生涯的开端和证明，找位人形把它装在门口……别找C96，她有可能摆不正。
furniture-10000916,指挥室-列车窗
furniture-20000916,这是灯火中一座荒凉的城。今夜，她们不关心人类，只想你。
furniture-10000917,指挥室-旧未来式地板
furniture-20000917,据说半世纪前的人们会幻想着五十年后的地板是这个样子的，哈哈……
furniture-10001001,咖啡店-卡座沙发床
furniture-20001001,“你说这看起来就只是个沙发？咖啡厅的沙发难道不就是用来睡觉的吗”
furniture-10001002,咖啡店-格子地砖
furniture-20001002,为什么是地砖而不是地毯呢？因为打翻咖啡洒在地毯上简直是噩梦。
furniture-10001003,咖啡店-铁皮椅(左)
furniture-20001003,经典的法国设计铁皮椅，看起来粗犷，实际上结构精巧且便于大量生产，每个咖啡店的必需品。
furniture-10001004,咖啡店-铁皮椅(右)
furniture-20001004,经典的法国设计铁皮椅，看起来粗犷，实际上结构精巧且便于大量生产，每个咖啡店的必需品。
furniture-10001005,咖啡店-咖啡机柜台
furniture-20001005,咖啡店的核心设备，既安置了复古造型的咖啡机，也保留了手工萃取咖啡的工具。
furniture-10001006,咖啡店-机场招牌柜台
furniture-20001006,从废弃机场偷运回的航班告示牌，和装满了饮料和点心的冷柜，幸福的来源（有冰可乐的柜子需要上锁）。
furniture-10001007,咖啡店-水泥地面
furniture-20001007,清水混凝土的地面，虽然很粗犷，但容易清洁，并且很受艺术家们的追捧。
furniture-10001008,咖啡店-咖啡桌
furniture-20001008,精心设计的金属底座咖啡桌，原木的桌面上有多年使用的痕迹，质感厚实。
furniture-10001009,咖啡店-灰色砖墙
furniture-20001009,深灰色的砖墙让人很容易安静下来，怪不得那么多人喜欢呆在咖啡店里
furniture-10001010,咖啡店-咖啡架
furniture-20001010,曾经咖啡豆是世界各地精选空运来的，现在的则是冒着生命危险从克鲁格先生私人仓库里偷来的。
furniture-10001011,咖啡店-黑板菜单
furniture-20001011,黑板是文艺的咖啡店的定番，写满各色美食和饮料，有时候则被某些战术少女用来展示绘画天赋。
furniture-10001012,咖啡店-大型招牌
furniture-20001012,这个M是马格南弹（magnum）的M，不是别的什么意思哦。
furniture-10001013,咖啡店-二连长窗
furniture-20001013,工业风的二连长窗，窗外的街道摄于2020年的布鲁克林。
furniture-10001101,暖冬和风-冬眠被褥
furniture-20001101,啊……世界上最温暖的角落，有了你还拿什么勇气去面对外面的世界呢？
furniture-10001102,暖冬和风-居家长柜
furniture-20001102,用来储物的长长柜子，也可以摆上各种装饰……然后您就得到一个大号的装饰啦。
furniture-10001103,暖冬和风-圆形坐垫
furniture-20001103,蓬松的坐垫，也可以根据场合跪坐在上面……您知道哪些人形是不会鸭子坐的嘛？
furniture-10001104,暖冬和风-人偶展台
furniture-20001104,节日时才会摆出的豪华人偶展台，而人偶的形象是可以更换的……这、这谁干的呀！
furniture-10001105,暖冬和风-床头矮柜
furniture-20001105,存放私人物品的小柜子，配上圆圆的梳妆镜……P7，绝对不准拿来直射别人的眼睛！
furniture-10001107,暖冬和风-田园式灯具
furniture-20001107,点亮后能映射出美丽的图案，所以手巧的人形会制作不同的灯笼纸……禁止画可怕的东西！
furniture-10001108,暖冬和风-浴室屏风
furniture-20001108,个子矮小的人形会很喜欢，您知道吧……小时候玩过的那种跳起来挂毛巾的游戏。
furniture-10001109,暖冬和风-温暖被炉
furniture-20001109,您决定什么时候把它搬出来呢？这头浑身散发着光辉，狠狠拖住你身心的甜美恶魔？
furniture-10001110,暖冬和风-和风墙纸
furniture-20001110,外形简易但工艺精致的和风墙纸，适合与懒洋洋的日常气氛搭配，别忘了还有工作哦。
furniture-10001111,暖冬和风-壁挂式神龛
furniture-20001111,用于供奉神仙的小小屋阁……仙人们会怕冷吗？会恐高吗？还是不要挂得太高吧？
furniture-10001112,暖冬和风-不倒翁挂轴
furniture-20001112,象征百折不挠，永远不会轻易倒下的不倒翁！……所以！我也不会轻易从被炉里出来的！
furniture-10001113,暖冬和风-旧式圆窗
furniture-20001113,透过窗户，您会看到伴随冬日来临的灵感，在温暖的房间里融化成了小小的诗句。
furniture-10001114,暖冬和风-青芯榻榻米
furniture-20001114,用细长的灯心草编织出的天然榻榻米，就算直接躺在上面也没问题，忘掉一切，尽情打滚吧！
furniture-10001201,清冬和风-冬眠被褥
furniture-20001201,啊……世界上最温暖的角落，有了你还拿什么勇气去面对外面的世界呢？
furniture-10001202,清冬和风-居家长柜
furniture-20001202,用来储物的长长柜子，也可以摆上各种装饰……然后您就得到一个大号的装饰啦。
furniture-10001203,清冬和风-圆形坐垫
furniture-20001203,蓬松的坐垫，也可以根据场合跪坐在上面……您知道哪些人形是不会鸭子坐的嘛？
furniture-10001204,清冬和风-人偶展台
furniture-20001204,节日时才会摆出的豪华人偶展台，而人偶的形象是可以更换的……这、这谁干的呀！
furniture-10001205,清冬和风-床头矮柜
furniture-20001205,存放私人物品的小柜子，配上圆圆的梳妆镜……P7，绝对不准拿来直射别人的眼睛！
furniture-10001207,清冬和风-田园式灯具
furniture-20001207,点亮后能映射出美丽的图案，所以手巧的人形会制作不同的灯笼纸……禁止画可怕的东西！
furniture-10001208,清冬和风-浴室屏风
furniture-20001208,个子矮小的人形会很喜欢，您知道吧……小时候玩过的那种跳起来挂毛巾的游戏。
furniture-10001209,清冬和风-温暖被炉
furniture-20001209,您决定什么时候把它搬出来呢？这头浑身散发着光辉，狠狠拖住你身心的甜美恶魔？
furniture-10001210,清冬和风-和风墙纸
furniture-20001210,外形简易但工艺精致的和风墙纸，适合与懒洋洋的日常气氛搭配，别忘了还有工作哦。
furniture-10001211,清冬和风-壁挂式神龛
furniture-20001211,用于供奉神仙的小小屋阁……仙人们会怕冷吗？会恐高吗？还是不要挂得太高吧？
furniture-10001212,清冬和风-不倒翁挂轴
furniture-20001212,象征百折不挠，永远不会轻易倒下的不倒翁！……所以！我也不会轻易从被炉里出来的！
furniture-10001213,清冬和风-旧式圆窗
furniture-20001213,透过窗户，您会看到伴随冬日来临的灵感，在温暖的房间里融化成了小小的诗句。
furniture-10001214,清冬和风-青芯榻榻米
furniture-20001214,用细长的灯心草编织出的天然榻榻米，就算直接躺在上面也没问题，忘掉一切，尽情打滚吧！
furniture-10001301,铁血工造-休眠床舱SP-B04
furniture-20001301,毯子上的花纹总觉得是在往下滑呢……-干扰者//n  少看点人类的心理学，或者把毯子反过来盖。-代理人
furniture-10001302,铁血工造-现代地毯SP-H03
furniture-20001302,图案是很巧妙，但经常有种是立体的错觉呢。-猎手//n也许不是错觉哦。-干扰者
furniture-10001303,铁血工造-金属椅子SP-F01
furniture-20001303,很酷是没错啦，可是不太适合衣服没下摆的人形啊……-刽子手
furniture-10001304,铁血工造-金属椅子SP-F02
furniture-20001304,很酷是没错啦，可是不太适合衣服没下摆的人形啊……-刽子手
furniture-10001305,铁血工造-复式挂灯SP-A06
furniture-20001305,离美好的艺术品只差一步，只要把格里芬的人形塞进去，哼哼……-炼金术士
furniture-10001306,铁血工造-露天阳台SP-A08
furniture-20001306,建筑师，下次开门时给我先看看外面，破坏者被撞哭很多次了！-代理人
furniture-10001307,铁血工造-方格地板SP-D11
furniture-20001307,设想这一道道缝隙是活生生的，某个夜晚会突然把你吸进去……-梦想家
furniture-10001308,铁血工造-落地灯SP-I04
furniture-20001308,花朵会被灯光骗到，然后在晚上绽放吗？不管怎样都很伤感呢……干扰者
furniture-10001309,铁血工造-居家沙发SP-A09
furniture-20001309,我最喜欢沙发啦！尤其是像这样挂在上面！-建筑师//n 小心别在让头发被垫子夹到了。-计量官
furniture-10001310,铁血工造-盘旋式楼梯SP-F03
furniture-20001310,这种没效率的楼梯只适合长裙子的家伙耍帅呢……-猎手
furniture-10001311,铁血工造-开放式多用桌SP-Z08
furniture-20001311,这是这个月第三块了，谁再看到建筑师坐到上面就把她拽下来。-代理人//n尤其是她抱着破坏者的时候。-代理人补充
furniture-10001312,铁血工造-光棱墙纸SP-G07
furniture-20001312,可调节亮度和频率，适合作战、日常和聚会等多种需要，节省成本，建议采购。-计量官
furniture-10001313,铁血工造-操作控制台SP-S03
furniture-20001313,既然是触屏操作……为什么还要键盘呢？-猎手//n据说是给破坏者准备的。-稻草人
furniture-10001314,铁血工造-铁血标语牌SP-A01
furniture-20001314,要永远记得我是什么，这个世界是什么，命运是什么。-稻草人
furniture-10001315,铁血工造-监视摄像头SP-E01
furniture-20001315,喂！你为什么突然要装这玩意啊！-刽子手//n……你不想知道谁拿了我们的打折券吗？-稻草人
furniture-10001316,铁血工造-监视摄像头SP-E02
furniture-20001316,喂！你为什么突然要装这玩意啊！-刽子手//n……你不想知道谁拿了我们的打折券吗？-稻草人
furniture-10001317,铁血工造-格窗SP-I04
furniture-20001317,看得久了，总觉得像被囚禁了一样呢……-干扰者 //n//n也许，是屋子外面才是监狱哦。-梦想家
furniture-10001401,圣诞福音-平安夜雪橇床
furniture-20001401,“来吧，如此美好的天气，让我和你一起滑雪橇！”
furniture-10001402,圣诞福音-圣诞祝福圆毯
furniture-20001402,“叮叮当，叮叮当，铃儿响叮当！我们滑雪多快乐，我们坐在雪橇上！”
furniture-10001403,圣诞福音-冬幕沙发椅(左)
furniture-20001403,“去年圣诞节，我把心交给了你，但第二天你就拿去扩编！”
furniture-10001404,圣诞福音-冬幕沙发椅(右)
furniture-20001404,“去年圣诞节，我把心交给了你，但第二天你就拿去扩编！”
furniture-10001405,圣诞福音-圣夜留声机
furniture-20001405,“一直到永远，一直到永远，想在你身边歌唱，随花朵起舞，与飞鸟为邻。”
furniture-10001406,圣诞福音-指挥部的圣诞壁炉
furniture-20001406,“他在你熟睡时来访，知道你是否好好听话……说你呢P7，今晚不准在壁炉生火！”
furniture-10001407,圣诞福音-冬日温暖地板
furniture-20001407,“他们蜷缩在田野守着羔羊，寒冷的冬夜是如此漫长。”
furniture-10001408,圣诞福音-冬幕长款沙发
furniture-20001408,“窗外风寒交加，屋内炉火正旺，而你我已无处可去，就任它雪花纷飞吧！”
furniture-10001409,圣诞福音-平安夜晚宴餐桌
furniture-20001409,“我们带给你美好讯息，再祝你圣诞快乐，所以我们不吃完就绝不走人的！”
furniture-10001410,圣诞福音-指挥部的圣诞树
furniture-20001410,“孩子们的礼物被包裹得五颜六色，我期待着圣诞老人不只是个传说。”
furniture-10001411,圣诞福音-冬日装饰墙板
furniture-20001411,“啊你看那槲寄生就挂在你所见之处，而那个人正在等待着你……”
furniture-10001412,圣诞福音-圣诞祝福墙饰
furniture-20001412,“许愿，亲吻，互诉衷肠，在漫天繁星的夜下，向远方的你道一声圣诞快乐！”
furniture-10001413,圣诞福音-圣夜时钟窗
furniture-20001413,“这些空空的房子令我孤独，只能看着时间在滴答之中流走。”
furniture-10001501,便利店-充气床垫
furniture-20001501,冰镇的饮料值得24小时守护，所以床垫是必不可少的。
furniture-10001502,便利店-防御工事
furniture-20001502,总部里虽不用担心劫匪，但其它小队的战术少女可比任何劫匪都危险一万倍，特别是贪吃的那些。
furniture-10001503,便利店-便利地垫
furniture-20001503,便利店里常用的看起来像地砖，踩上去才发现是橡胶的地垫，展现了战前人类的心机。
furniture-10001504,便利店-收银柜台
furniture-20001504,这里提供格里芬内部充值卡，现金等多种支付方式，把这些瓶盖拿回去，你玩太多电子游戏了。
furniture-10001505,便利店-烈酒酒柜
furniture-20001505,诚挚的建议指挥官把酒柜摆在柜台后面安全的位置，战术人形也是会醉的，不要问我们为什么知道。
furniture-10001506,便利店-货架A
furniture-20001506,如果说超市是消费主义废墟上的教堂，那摆满商品的货架应该是唱诗班了。
furniture-10001507,便利店-货架B
furniture-20001507,小贴士：超市里不受欢迎的货品一般都被摆在最下层。
furniture-10001508,便利店-饮料冰柜
furniture-20001508,真是令人惊讶，即使是战后的这个世界边缘的小小防区里，属于饮料的战争仍在继续。
furniture-10001509,便利店-高脚桌
furniture-20001509,吃着微波炉热好的方便食品，坐着看外面风雪中的匆匆过客，幸福来的如此简单。
furniture-10001510,便利店-古旧电视
furniture-20001510,信号稍微有点波动，拍打一下试试看。哦，现在的新人指挥官可能没见过这个消息了吧。
furniture-10001511,便利店-便利墙纸
furniture-20001511,塑料的墙板很容易擦干净且易于更换，背后内建了暖气设施。
furniture-10001512,便利店-宣传海报
furniture-20001512,“愿世界和平...”“好好好你说的都对，把枪放下我们慢慢说”
furniture-10001513,便利店-凸面镜
furniture-20001513,虽然是用来监视小偷的，但经常有战术少女跑到下面整理头发。
furniture-10001514,便利店-高脚凳右
furniture-20001514,高脚桌的设计是为了让你终于可以站着吃饭，然而高脚凳让你可以重新坐在高脚桌边，令人费解。
furniture-10001515,便利店-高脚凳左
furniture-20001515,高脚桌的设计是为了让你终于可以站着吃饭，然而高脚凳让你可以重新坐在高脚桌边，令人费解。
furniture-10001601,极地雪屋-甜梦守护者
furniture-20001601,一只可以在梦境中保护你的小熊。好吧，体积稍微大了那么一点。
furniture-10001602,极地雪屋-冰洞地毯
furniture-20001602,每个人走在上面的时候都忍不住胆战心惊，除了柯尔特，她希望真的能掉下去试试。
furniture-10001603,极地雪屋-雪冰砖
furniture-20001603,使用钢化玻璃制成，如果需要，还可以打开内置加热装置，不用担心着凉。
furniture-10001604,极地雪屋-雪冰砖（附爪印）
furniture-20001604,使用钢化玻璃制成，如果需要，还可以打开内置加热装置，不用担心着凉。爪印来源不明。
furniture-10001605,极地雪屋-雪原之景
furniture-20001605,播放着富有魅力的极地风光，让人感叹大自然的神奇。
furniture-10001606,极地雪屋-古朴置物架
furniture-20001606,为了模仿出原住民风格，堆了很多杂物上去。M45提供了鲱鱼罐头，没有人敢去打开。
furniture-10001607,极地雪屋-海豹宝宝
furniture-20001607,使用人造材质制作，不用担心环保组织抗议。体现了海豹宝宝最可爱的一面。
furniture-10001608,极地雪屋-海豹宝宝（睡眠中）
furniture-20001608,格里芬在调研中发现部分指挥官对海豹怀有敌意，因此特地定做了海豹砂砂玩偶，培养大家的爱心。
furniture-10001609,极地雪屋-原住民沙发
furniture-20001609,铺着使用手工技巧染色的织物，坐起来有一种成为了部落首领的感觉。
furniture-10001610,极地雪屋-简朴壁炉
furniture-20001610,简单搭建的壁炉，火焰也是投影效果，不过内置了暖风机，真的可以发热。附赠毛呢WA2000雪人玩偶。
furniture-10001611,极地雪屋-树桩桌
furniture-20001611,巨大的树桩桌。如果使用小刀在桌面上乱刻，会被赫利安带去行为矫正。
furniture-10001612,极地雪屋-格里芬部落旗
furniture-20001612,“如果世界真的毁灭了，我们就用这个标志，从原始社会重新发展吧！”“恕我拒绝。”
furniture-10001613,极地雪屋-缎带鹿挂饰
furniture-20001613,使用陶瓷制作的工艺品，神态安宁。大家要保护动物哦！
furniture-10001614,极地雪屋-冬夜墙纸
furniture-20001614,采用了能使人联想起极地的代表色，夏日时使用清凉消暑，冬天有点冷。
furniture-10001615,极地雪屋-雪绒地板
furniture-20001615,看上像走在雪地中，可惜并不会留下脚印，也无法弯腰堆雪人。
furniture-10001701,年夜迎春-小桥流水
furniture-20001701,“小桥流水哗啦啦”，这可是万能的儿歌开头哦。-88式//n哼，虽然被真正的儿童唱出来的，一般都不是什么好词罢了。-NZ75
furniture-10001702,年夜迎春-青石墩凳(左)
furniture-20001702,石墩的优势，就是可以从任意方向翘起来当木马骑！-59式//n喂喂，小心一点，别再滚出去啦！-63式
furniture-10001703,年夜迎春-荷风清响
furniture-20001703,老姐，这摆设有什么用啊，还要换水……-97式//n看，今晚的藕盒就是用这个做的。-95式//n等等！这小池子原来是真的？！-97式
furniture-10001704,年夜迎春-爆竹小铺
furniture-20001704,节日娱乐要适度，可不能造成污染和安全问题啊。-97霰弹//n大家只唱歌和跳舞不就好了？-56半//n你那个年代的唱歌跳舞，大家肯定是跟不上啦……-97霰弹
furniture-10001705,年夜迎春-糖球小铺
furniture-20001705,除了山楂，其它牛鬼蛇神都该开除出糖球界！-79式//n呜……放水果糖球一条活路啊！-M99
furniture-10001706,年夜迎春-玩艺小铺
furniture-20001706,怎么一次做了这么多，不像你的风格啊。-79式//n卖不掉的可以留到元宵节……甚至到中秋节还能用呢。-92式
furniture-10001707,年夜迎春-青石栏杆
furniture-20001707,这可是国人传统的健身器材之一哦。-59式//n喂，你们几个！别在上面玩单杠，小心又掉下去啊！-63式
furniture-10001708,年夜迎春-团圆灯笼
furniture-20001708,一家人能在一起赏灯真是太好了，不是吗？-95式//n哼，偶尔回来一次……也不错吧。-97式
furniture-10001709,年夜迎春-青石地板
furniture-20001709,看着古朴整洁的地砖，你能联想起什么呢？-M99//n唔……公园里的打拳老大爷？-56-1式//n你这样放在学校里是要叫老师的……-M99
furniture-10001710,年夜迎春-青石圆桌
furniture-20001710,要再来一盘吗？谁输了今晚就负责大家的晚饭吧！-56-1式//n（叹气）想让我下厨就直说吧，你知道我不擅长五子棋……-64式
furniture-10001711,年夜迎春-摇钱树
furniture-20001711,如果是真的，今后就不用担心经费了呢。-92式//n自己动手丰衣足食！别指望这些迷信的东西啊！-56半
furniture-10001712,年夜迎春-万家灯火
furniture-20001712,无论哪个时代，大家都想得到幸福吧，可是为什么……-64式//n所以，才有了我们呀。-56-1式
furniture-10001713,年夜迎春-聚宝船
furniture-20001713,出发！我们要到金子山上去！-88式//n省省啦，那只是幅画而已啊！-M99//n是画的也无所谓！让我去二次元吧！-88式
furniture-10001714,年夜迎春-许愿灯笼
furniture-20001714,传说啊，这是天下第一聪明人发明的东西呢。-97霰弹//n但是，却没能实现他的愿望。-NZ75
furniture-10001715,年夜迎春-青石墩凳(右)
furniture-20001715,石墩的优势，就是可以从任意方向翘起来当木马骑！-59式//n喂喂，小心一点，别再滚出去啦！-63式
furniture-10001901,失温症-M4A1
furniture-20001901,“只要我们能在一起，一起胜利，或者一起倒下……对我而言，那一定是最好的结局。”
furniture-10001902,失温症-M16A1
furniture-20001902,“感情本身就是缺陷……别指望他们会同情我们，尤其是现在。”
furniture-10001903,失温症-AR15
furniture-20001903,“我们都有各自的责任……这决定了我们有时没有选择。”
furniture-10001904,失温症-M4 SOPMOD II
furniture-20001904,“嘿嘿，这就是命运嘛，我们可是最好的伙伴。”
furniture-10001905,失温症-HK416
furniture-20001905,“那就跪下来道歉吧……这一刻我等太久了。”
furniture-10001906,失温症-UMP9
furniture-20001906,“哈哈，有什么区别嘛，我们现在的日子不也挺好的？”
furniture-10001907,失温症-G11
furniture-20001907,“怪我喽，开枪的又不是你们……”
furniture-10001908,失温症-UMP45
furniture-20001908,“我们，是所有人的污点。”
furniture-10001909,精英狮鹫作战勋章
furniture-20001909,表彰该指挥官及其麾下的战术人形建立的独一无二的卓越功勋。
furniture-10001910,暗夜魔方
furniture-20001910,一颗古老的石雕魔方，展现了前人令人赞叹的技艺，但除此之外并没什么用处的样子。
furniture-10001911,深层映射-UMP45
furniture-20001911,“要获得认可，我必须更加努力才行……”
furniture-10001912,深层映射-UMP40
furniture-20001912,“现在，你有资格继续活下来了。”
furniture-10001913,电子作战强化仪
furniture-20001913,16LAB的最新杰作，能够大幅增强人形进行电子作战时的效能，但会产生轻微的心智云图回溯等副作用。“该怎么说呢？确实看到了……有意思的东西。” 
furniture-10001914,旧时代靶场休息椅
furniture-20001914,“答应你，这一切都会有所改变的，总有一天……”
furniture-10001915,塌缩点-AK12
furniture-20001915,重新对你感到好奇了呢，AR15。
furniture-10001916,塌缩点-AN94
furniture-20001916,不让她受到伤害是我的职责。
furniture-10001917,塌缩点-AR15
furniture-20001917,你真的认为，我们的敌人只有铁血而已？
furniture-10001918,塌缩点-M4A1
furniture-20001918,我只要知道真正该死的是谁，就足够了。
furniture-10001919,象棋
furniture-20001919,这简直……简直是人类没有资格触碰的神迹！
furniture-10001920,电视
furniture-20001920,我们所有人，都会找到复仇的对象。
furniture-10001921,AK12的摩托车
furniture-20001921,以AK12为主题的摩托，“这样的任务，不需要什么深度计算呢。”
furniture-10001922,AN94的摩托车
furniture-20001922,以AN94为主题的摩托，“我现在唯一能做的，就只有这个！”
furniture-10001923,AR15的摩托车
furniture-20001923,以AR15为主题的摩托，“让我来埋葬你的痛苦吧！”
furniture-10001924,M4A1的摩托车
furniture-20001924,以M4A1为主题的摩托，“就在这里……倒下吧！”
furniture-10001925,喙的摩托车
furniture-20001925,以铁血头目·喙为主题的摩托，“让你们看看时下流行的风格吧！”
furniture-10001926,梭鱼复制品
furniture-20001926,异构体行动中最大谜团……的复制品，现在被人形们当作比试跳高时的记录工具……“啪！看我贴的最高哦！”
furniture-10001927,洪瀑安全阀
furniture-20001927,爬满青苔和野草的安全阀一个，不知道被谁塞进了战后物资仓里，本来想直接扔掉，但是被格琳娜捡了回来送给人形当板凳。
furniture-10001928,EMP运输箱
furniture-20001928,从军方仓库中缴获的完整EMP手雷一枚，因为对人形伤害极大，所以做了全面的隔离措施。但依然有好奇心旺盛的人形想要尝试它的滋味。
furniture-10001929,归神遗座
furniture-20001929,曾经在战场上大杀四方的归神铳一台，自从那个唯一有权限驾驭它的人离开之后，它便失去了往日的神采，沦为了一座沉默的游乐椅。
furniture-10001930,盗火者展柜
furniture-20001930,已经彻底耗尽能源的盗火者一台，不具备研究价值，因此制成了展品。奇怪的是总有人形汇报它的能源指示灯会在深夜亮起。
furniture-10001931,列车炮挂件
furniture-20001931,为了铭记大家的牺牲，以及警醒自己千万不可懈怠，我特意让人拆下了列车炮的外观镶在墙上，可惜从此再也没有人形愿意进这个房间了……
furniture-10001932,奎乌陈列架
furniture-20001932,作战结束后缴获的奎乌一台，但在运输途中不知被哪位人形拆解得无法拼凑回原形，只好陈列于此。希望作案人形尽早归还剩余零件。
furniture-10001801,游戏事业部-鲜艳沙发
furniture-20001801,平时被熬夜的员工们当做双人床，公司做直播的时候他们的被子则会被藏到后面角落里。
furniture-10001802,游戏事业部-可调办公椅(左)
furniture-20001802,著名的人体工学座椅，能有效降低员工离开电脑前的概率。
furniture-10001803,游戏事业部-可调办公椅(右)
furniture-20001803,著名的人体工学座椅，能有效降低员工离开电脑前的概率。
furniture-10001804,游戏事业部-直播设备
furniture-20001804,4K高清摄影机，让玩家能从制作人的脸又变圆了的细节推导出后续的计划。制作人：是浮肿，是加班累的。
furniture-10001805,游戏事业部-游戏角落
furniture-20001805,各种限定主机体现了员工们的工资去向，游戏包装里经常没有光盘。
furniture-10001806,游戏事业部-复古冰箱
furniture-20001806,里面装满了免费的冰镇可乐，至少一开始是这么计划的，实际上每次没等到下班就会变得空空如也。
furniture-10001807,游戏事业部-现代艺术地毯
furniture-20001807,色彩构成里特别挑选了让人安心的颜色，这就是服务生活的设计。
furniture-10001808,游戏事业部-铁架楼梯
furniture-20001808,为了最大限度利用层高，设计师巧妙的添加了有多种用途的隔层。
furniture-10001809,游戏事业部-木纹复合地板
furniture-20001809,仔细看的话，能看到木纹里印刷机的墨点，但没人会趴在地板上看的，除了刚睡醒的G11。
furniture-10001810,游戏事业部-小姐姐的桌子
furniture-20001810,意外的并没有什么可爱元素，专业的mic展现了主人硬核玩家的身份。
furniture-10001811,游戏事业部-程序员的桌子
